,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,12028,4235
A3-e003Coalescence-mBHI-p3,12102,4265
A3-e003Coalescence-mGAM-p7,11921,4135
B2-e003Coalescence-Inoculumn-mBHI,12022,4240
B2-e003Coalescence-mBHI-p3,12102,4265
B2-e003Coalescence-mBHI-p5,12017,4223
B2-e003Coalescence-mBHI-p7,11924,4138
B2-e003Coalescence-mGAM-p3,12025,4231
E3-e003Coalescence-mBHI-p3_S10,12092,4261
E3-e003Coalescence-mBHI-p5_S2,12096,4263
E3-e003Coalescence-mGAM-p3_S58,12021,4225
E3-e003Coalescence-mGAM-p5_S50,12016,4212
E3-e003Coalescence-mGAM-p7_S146,12056,4235
F2-e003Coalescence-mBHI-p3_S21,12095,4262
F2-e003Coalescence-mBHI-p5_S13,12100,4264
F2-e003Coalescence-mBHI-p7_S109,7812,2356
F2-e003Coalescence-mGAM-p3_S69,12016,4193
F2-e003Coalescence-mGAM-p5_S61,11962,4156
F2-e003Coalescence-mGAM-p7_S157,12004,4207
