,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,17733,12029
A4-e003Coalescence-mBHI-p3,17720,12009
A4-e003Coalescence-mBHI-p5,17736,12025
A4-e003Coalescence-mBHI-p7,17726,12023
A4-e003Coalescence-mGAM-p5,17500,11899
C2-e003Coalescence-mBHI-inoculumn-redo,17735,12029
C2-e003Coalescence-mBHI-p3,17724,12009
C2-e003Coalescence-mBHI-p5,17729,12018
C2-e003Coalescence-mBHI-p7,17465,11777
C2-e003Coalescence-mGAM-p3,17656,11946
C2-e003Coalescence-mGAM-p5,17710,11990
C2-e003Coalescence-mGAM-p7,17731,12010
E4-e003Coalescence-mBHI-p3_S11,17730,12019
E4-e003Coalescence-mBHI-p5_S3,17736,12025
E4-e003Coalescence-mBHI-p7_S99,17569,11981
E4-e003Coalescence-mGAM-p3_S59,17639,11872
E4-e003Coalescence-mGAM-p5_S51,16685,11548
E4-e003Coalescence-mGAM-p7_S147,17154,11777
G2-e003Coalescence-mBHI-p3_S33,17708,12005
G2-e003Coalescence-mBHI-p5_S25,17724,12006
G2-e003Coalescence-mBHI-p7_S121,17660,11958
G2-e003Coalescence-mGAM-p3_S81,17670,11905
G2-e003Coalescence-mGAM-p5_S73,17708,11959
