,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,10267,8995
A5-e003Coalescence-mBHI-inoculumn-redo,10402,9089
A5-e003Coalescence-mBHI-p3,10336,9014
A5-e003Coalescence-mBHI-p7,10397,9078
A5-e003Coalescence-mGAM-p3,10346,9028
D2-e003Coalescence-Inoculumn-mBHI,10370,9076
D2-e003Coalescence-mBHI-p3,10401,9081
D2-e003Coalescence-mBHI-p5,10394,9074
D2-e003Coalescence-mBHI-p7,7013,6092
D2-e003Coalescence-mGAM-p5,10389,9075
E5-e003Coalescence-mBHI-p3_S12,10398,9074
E5-e003Coalescence-mBHI-p5_S4,10382,9043
E5-e003Coalescence-mBHI-p7_S100,10362,9045
E5-e003Coalescence-mGAM-p3_S60,10186,8917
E5-e003Coalescence-mGAM-p5_S52,10314,9023
E5-e003Coalescence-mGAM-p7_S148,10381,9072
H2-e003Coalescence-mBHI-p3_S45,10385,9068
H2-e003Coalescence-mBHI-p7_S133,10383,9066
H2-e003Coalescence-mGAM-p3_S93,10342,9015
H2-e003Coalescence-mGAM-p5_S85,9393,8168
H2-e003Coalescence-mGAM-p7_S181,10404,9087
