,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mBHI-p3,8872,5547
B10-e003Coalescence-mBHI-p5,8878,5549
B10-e003Coalescence-mGAM-p3,8766,5523
B10-e003Coalescence-mGAM-p7,8454,5374
B4-e003Coalescence-Inoculumn-mGAM,8871,5548
C3-e003Coalescence-Inoculumn-mGAM,8852,5534
C9-e003Coalescence-mBHI-p3,8878,5549
C9-e003Coalescence-mBHI-p5,8877,5549
C9-e003Coalescence-mBHI-p7,8865,5538
C9-e003Coalescence-mGAM-p3,8808,5539
C9-e003Coalescence-mGAM-p5,8780,5530
C9-e003Coalescence-mGAM-p7,8765,5525
F100-e003Coalescence-mBHI-p7_S115,8879,5548
F100-e003Coalescence-mGAM-p3_S167,8195,5355
F100-e003Coalescence-mGAM-p5_S67,8477,5442
F100-e003Coalescence-mGAM-p7_S163,8685,5513
G9-e003Coalescence-mBHI-p3_S130,8827,5527
G9-e003Coalescence-mBHI-p5_S30,8880,5549
G9-e003Coalescence-mGAM-p3_S178,8780,5530
G9-e003Coalescence-mGAM-p5_S78,8545,5477
G9-e003Coalescence-mGAM-p7_S174,8683,5508
