,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C5-e003Coalescence-mBHI-inoculumn-redo,12023,15065
C5-e003Coalescence-mBHI-p3,12002,15044
C5-e003Coalescence-mBHI-p5,12026,15067
C5-e003Coalescence-mBHI-p7,12001,15045
C5-e003Coalescence-mGAM-p3,11966,14932
C5-e003Coalescence-mGAM-p7,11870,14864
D4-e003Coalescence-Inoculumn-mBHI,12019,15061
D4-e003Coalescence-mBHI-p3,12020,15058
D4-e003Coalescence-mBHI-p5,12019,15048
D4-e003Coalescence-mBHI-p7,12004,15038
D4-e003Coalescence-mGAM-p3,11903,14884
D4-e003Coalescence-mGAM-p5,11910,14872
D4-e003Coalescence-mGAM-p7,11973,14976
G5-e003Coalescence-mBHI-p3_S36,12015,15055
G5-e003Coalescence-mBHI-p5_S28,12025,15064
G5-e003Coalescence-mBHI-p7_S124,12026,15053
G5-e003Coalescence-mGAM-p3_S84,11898,14767
G5-e003Coalescence-mGAM-p5_S76,11638,14517
G5-e003Coalescence-mGAM-p7_S172,11973,14944
H4-e003Coalescence-mBHI-p3_S47,11963,15028
H4-e003Coalescence-mBHI-p5_S39,12027,15067
H4-e003Coalescence-mBHI-p7_S135,12026,15058
H4-e003Coalescence-mGAM-p3_S95,11784,14755
H4-e003Coalescence-mGAM-p5_S87,11924,14868
H4-e003Coalescence-mGAM-p7_S183,11985,14975
