,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C11-e003Coalescence-mBHI-p3,4880,9379
C11-e003Coalescence-mBHI-p5,4886,9393
C11-e003Coalescence-mGAM-p3,4883,9381
C11-e003Coalescence-mGAM-p5,4872,9279
C11-e003Coalescence-mGAM-p7,4869,9310
C5-e003Coalescence-Inoculumn-mGAM,4883,9390
D10-e003Coalescence-mBHI-p3,4885,9395
D10-e003Coalescence-mBHI-p5,4884,9393
D10-e003Coalescence-mBHI-p7,4880,9388
D10-e003Coalescence-mGAM-p3,4861,9310
D10-e003Coalescence-mGAM-p5,4872,9331
D10-e003Coalescence-mGAM-p7,4883,9365
D4-e003Coalescence-Inoculumn-mGAM,4715,9088
G111-e003Coalescence-mBHI-p3_S132,3456,6459
G111-e003Coalescence-mBHI-p5_S32,4885,9393
G111-e003Coalescence-mBHI-p7_S128,4880,9393
G111-e003Coalescence-mGAM-p3_S180,4866,9281
G111-e003Coalescence-mGAM-p5_S80,4854,9185
G111-e003Coalescence-mGAM-p7_S176,2788,4774
H100-e003Coalescence-mBHI-p5_S43,4883,9390
H100-e003Coalescence-mBHI-p7_S139,4885,9393
H100-e003Coalescence-mGAM-p5_S91,4834,9221
H100-e003Coalescence-mGAM-p7_S187,4779,8982
