,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A2-e003Coalescence-Inoculumn-mGAM,2932,2451
D5-e003Coalescence-Inoculumn-mGAM,2932,2451
A11-e003Coalescence-mBHI-p3,2514,2142
A11-e003Coalescence-mGAM-p3,2922,2428
A11-e003Coalescence-mGAM-p7,2572,2127
A5-e003Coalescence-Inoculumn-mGAM,2887,2434
D2-e003Coalescence-Inoculumn-mGAM,2855,2367
D8-e003Coalescence-mGAM-p5,2921,2427
E111-e003Coalescence-mBHI-p7_S104,2729,2375
E111-e003Coalescence-mGAM-p5_S56,2889,2358
H8-e003Coalescence-mBHI-p5_S41,2309,2000
H8-e003Coalescence-mBHI-p7_S137,2465,2187
H8-e003Coalescence-mGAM-p5_S89,2871,2344
H8-e003Coalescence-mGAM-p7_S185,2931,2445
