,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-mBHI-inoculumn-redo,865,978
A5-e003Coalescence-mBHI-p1_S740,778,879
A5-e003Coalescence-mBHI-p7,1137,1235
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,1247,1344
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,1227,1325
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,737,787
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,1238,1341
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,1232,1329
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,1152,1262
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,1243,1339
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,1245,1340
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,1233,1326
C_D9_H2_AA_AF_mBHI_mBHI_4_S237,1182,1285
C_H9_H2_AA_AF_mBHI_mGAM_4_S285,697,735
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,1222,1317
Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,1242,1331
D2-e003Coalescence-Inoculumn-mBHI,948,1008
D2-e003Coalescence-mBHI-p5,941,1010
D2-e003Coalescence-mGAM-p1_S723,807,875
D2-e003Coalescence-mGAM-p5,979,1078
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,1247,1345
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,1232,1315
E5-e003Coalescence-mBHI-p3_S12,1143,1272
E5-e003Coalescence-mBHI-p5_S4,1053,1153
E5-e003Coalescence-mBHI-p7_S100,1225,1330
E5-e003Coalescence-mGAM-p7_S148,1197,1298
H2-e003Coalescence-mBHI-p7_S133,1025,1107
H2-e003Coalescence-mGAM-p3_S93,756,737
H2-e003Coalescence-mGAM-p7_S181,1222,1310
