,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A_H10_D3_ACPP_AF_mBHI_mGAM_4_S94,419,346
B5-e003Coalescence-Inoculumn-mBHI,422,346
B5-e003Coalescence-mBHI-p1_S741,365,274
B5-e003Coalescence-mBHI-p3,257,211
B5-e003Coalescence-mBHI-p5,163,157
B5-e003Coalescence-mBHI-p7,284,252
B5-e003Coalescence-mGAM-p1_S745,416,339
B5-e003Coalescence-mGAM-p3,386,325
B5-e003Coalescence-mGAM-p5,333,243
B_D2_H3_ACPP_AF_mBHI_mBHI_2_S134,236,175
B_H2_H3_ACPP_AF_mBHI_mGAM_2_S182,425,351
Coalescence-B4-D3-ACPP-AF-mBHI-mGAM-7_S635,293,226
Coalescence-E11-D3-ACPP-AF-mBHI-mBHI-3_S678,425,351
D3-e003Coalescence-Inoculumn-mBHI,425,351
D3-e003Coalescence-mBHI-p1_S727,375,305
D3-e003Coalescence-mGAM-p1_S731,425,351
D3-e003Coalescence-mGAM-p3,396,327
D3-e003Coalescence-mGAM-p5,384,327
F5-e003Coalescence-mBHI-p1_S805,284,213
F5-e003Coalescence-mBHI-p3_S24,290,270
F5-e003Coalescence-mBHI-p7_S112,240,216
F5-e003Coalescence-mGAM-p1_S809,423,348
F5-e003Coalescence-mGAM-p3_S72,332,266
F5-e003Coalescence-mGAM-p5_S64,346,283
H3-e003Coalescence-mBHI-p1_S791,261,211
H3-e003Coalescence-mBHI-p3_S46,378,313
H3-e003Coalescence-mGAM-p3_S94,299,236
H3-e003Coalescence-mGAM-p5_S86,213,168
