,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,3491,2453
A5-e003Coalescence-mBHI-inoculumn-redo,5371,3736
A5-e003Coalescence-mBHI-p1_S740,3791,2620
A5-e003Coalescence-mGAM-p1_S744,5293,3693
A5-e003Coalescence-mGAM-p3,5062,3524
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,4048,2745
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,5142,3584
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,5516,3854
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,5508,3851
A_E12_A5_AF_AA_mBHI_mGAM_4_S60,5208,3612
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,5438,3773
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,5501,3832
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,5485,3839
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,4933,3421
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,5485,3823
C_E4_A5_AF_AA_mBHI_mGAM_6_S244,5463,3805
C_H9_H2_AA_AF_mBHI_mGAM_4_S285,3711,2528
D2-e003Coalescence-Inoculumn-mBHI,4667,3218
D2-e003Coalescence-mBHI-p3,5413,3771
D2-e003Coalescence-mGAM-p1_S723,5424,3767
D2-e003Coalescence-mGAM-p5,3451,2428
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,5437,3811
E5-e003Coalescence-mGAM-p1_S808,4269,2937
E5-e003Coalescence-mGAM-p3_S60,5397,3738
E5-e003Coalescence-mGAM-p7_S148,5098,3529
H2-e003Coalescence-mBHI-p1_S783,1582,1121
H2-e003Coalescence-mBHI-p3_S45,4259,2927
H2-e003Coalescence-mGAM-p1_S787,5503,3857
H2-e003Coalescence-mGAM-p3_S93,2311,1528
H2-e003Coalescence-mGAM-p7_S181,4752,3316
