,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,3034,1850
A3-e003Coalescence-mBHI-p1_S724,7491,4770
A3-e003Coalescence-mBHI-p3,7636,4853
A3-e003Coalescence-mGAM-p1_S728,7724,4930
A3-e003Coalescence-mGAM-p7,3348,2283
A_A2_A3_ACPP_AA_mBHI_mBHI_2_S2,4491,2633
A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,6776,4372
B2-e003Coalescence-Inoculumn-mBHI,7422,4733
B2-e003Coalescence-mBHI-p1_S717,7505,4733
B2-e003Coalescence-mBHI-p3,7710,4893
B2-e003Coalescence-mBHI-p5,3488,2051
B2-e003Coalescence-mGAM-p3,5019,3354
B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,7617,4796
Coalescence-A6-B2-AA-ACPP-mBHI-mGAM-7_S625,7529,4756
Coalescence-B7-E3-AA-ACPP-mBHI-mBHI-7_S638,7708,4858
Coalescence-C5-A3-AA-ACPP-mBHI-mGAM-5_S648,7687,4920
Coalescence-D1-B2-AA-ACPP-mBHI-mGAM-5_S656,7703,4910
Coalescence-D7-A3-AA-ACPP-mBHI-mGAM-3_S662,7562,4904
E3-e003Coalescence-mBHI-p1_S788,6230,3874
E3-e003Coalescence-mBHI-p3_S10,7643,4844
E3-e003Coalescence-mBHI-p5_S2,5663,3387
E3-e003Coalescence-mGAM-p1_S792,7723,4930
E3-e003Coalescence-mGAM-p3_S58,4188,2953
E3-e003Coalescence-mGAM-p5_S50,7482,4771
E3-e003Coalescence-mGAM-p7_S146,7363,4603
F2-e003Coalescence-mBHI-p1_S781,6991,4430
F2-e003Coalescence-mBHI-p3_S21,7569,4752
F2-e003Coalescence-mBHI-p5_S13,7617,4817
F2-e003Coalescence-mGAM-p1_S785,7690,4918
F2-e003Coalescence-mGAM-p3_S69,7257,4696
F2-e003Coalescence-mGAM-p5_S61,7204,4702
