,index,fixed_diffs,comparisons,sample1,species_id
0,e003-inoculumn-fecal-AC,0,1150263,e003-inoculumn-fecal-AC,102040
1,Assembly-G9-C9-ACPP-mGAM-3_S700,3179,1775146,e003-inoculumn-fecal-AC,102040
2,Assembly-G11-D9-ACPP-mGAM-3_S702,1906,1122490,e003-inoculumn-fecal-AC,102040
3,Assembly-G4-B9-ACPP-mGAM-3_S695,3265,1820065,e003-inoculumn-fecal-AC,102040
4,D_F10_e003Assembly_S358,3119,1761539,e003-inoculumn-fecal-AC,102040
0,e003-inoculumn-fecal-AC,3179,1150263,Assembly-G9-C9-ACPP-mGAM-3_S700,102040
1,Assembly-G9-C9-ACPP-mGAM-3_S700,0,1775146,Assembly-G9-C9-ACPP-mGAM-3_S700,102040
2,Assembly-G11-D9-ACPP-mGAM-3_S702,2,1122490,Assembly-G9-C9-ACPP-mGAM-3_S700,102040
3,Assembly-G4-B9-ACPP-mGAM-3_S695,2,1820065,Assembly-G9-C9-ACPP-mGAM-3_S700,102040
4,D_F10_e003Assembly_S358,4,1761539,Assembly-G9-C9-ACPP-mGAM-3_S700,102040
0,e003-inoculumn-fecal-AC,1906,1150263,Assembly-G11-D9-ACPP-mGAM-3_S702,102040
1,Assembly-G9-C9-ACPP-mGAM-3_S700,2,1775146,Assembly-G11-D9-ACPP-mGAM-3_S702,102040
2,Assembly-G11-D9-ACPP-mGAM-3_S702,0,1122490,Assembly-G11-D9-ACPP-mGAM-3_S702,102040
3,Assembly-G4-B9-ACPP-mGAM-3_S695,1,1820065,Assembly-G11-D9-ACPP-mGAM-3_S702,102040
4,D_F10_e003Assembly_S358,1,1761539,Assembly-G11-D9-ACPP-mGAM-3_S702,102040
0,e003-inoculumn-fecal-AC,3265,1150263,Assembly-G4-B9-ACPP-mGAM-3_S695,102040
1,Assembly-G9-C9-ACPP-mGAM-3_S700,2,1775146,Assembly-G4-B9-ACPP-mGAM-3_S695,102040
2,Assembly-G11-D9-ACPP-mGAM-3_S702,1,1122490,Assembly-G4-B9-ACPP-mGAM-3_S695,102040
3,Assembly-G4-B9-ACPP-mGAM-3_S695,0,1820065,Assembly-G4-B9-ACPP-mGAM-3_S695,102040
4,D_F10_e003Assembly_S358,2,1761539,Assembly-G4-B9-ACPP-mGAM-3_S695,102040
0,e003-inoculumn-fecal-AC,3119,1150263,D_F10_e003Assembly_S358,102040
1,Assembly-G9-C9-ACPP-mGAM-3_S700,4,1775146,D_F10_e003Assembly_S358,102040
2,Assembly-G11-D9-ACPP-mGAM-3_S702,1,1122490,D_F10_e003Assembly_S358,102040
3,Assembly-G4-B9-ACPP-mGAM-3_S695,2,1820065,D_F10_e003Assembly_S358,102040
4,D_F10_e003Assembly_S358,0,1761539,D_F10_e003Assembly_S358,102040
