,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p3,0.33299999999999996,0.652
A10-e003Coalescence-mBHI-p5,0.471,0.506
A10-e003Coalescence-mBHI-p7,0.621,0.361
A10-e003Coalescence-mGAM-p3,0.07999999999999996,0.915
A10-e003Coalescence-mGAM-p7,0.092,0.898
A4-e003Coalescence-Inoculumn-mGAM,0.4,0.5740000000000001
C2-e003Coalescence-Inoculumn-mGAM,0.395,0.581
C8-e003Coalescence-mBHI-p5,0.21899999999999997,0.769
C8-e003Coalescence-mBHI-p7,0.354,0.628
C8-e003Coalescence-mGAM-p7,0.071,0.923
E100-e003Coalescence-mBHI-p5_S7,0.491,0.486
E100-e003Coalescence-mBHI-p7_S103,0.33899999999999997,0.634
E100-e003Coalescence-mGAM-p3_S155,0.096,0.894
E100-e003Coalescence-mGAM-p5_S55,0.13,0.855
E100-e003Coalescence-mGAM-p7_S151,0.06699999999999995,0.923
G8-e003Coalescence-mBHI-p3_S129,0.275,0.706
G8-e003Coalescence-mBHI-p5_S29,0.28900000000000003,0.69
G8-e003Coalescence-mBHI-p7_S125,0.323,0.655
G8-e003Coalescence-mGAM-p3_S177,0.07399999999999995,0.919
G8-e003Coalescence-mGAM-p5_S77,0.16400000000000003,0.817
G8-e003Coalescence-mGAM-p7_S173,0.06599999999999995,0.925
