,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mBHI-p3,3219,9355
B10-e003Coalescence-mBHI-p5,3881,11346
B10-e003Coalescence-mGAM-p3,3729,10937
B10-e003Coalescence-mGAM-p7,956,2857
B4-e003Coalescence-Inoculumn-mGAM,3903,11433
C3-e003Coalescence-Inoculumn-mGAM,3899,11418
C9-e003Coalescence-mBHI-p3,3891,11422
C9-e003Coalescence-mBHI-p5,3875,11295
C9-e003Coalescence-mBHI-p7,3375,9973
C9-e003Coalescence-mGAM-p3,3846,11273
C9-e003Coalescence-mGAM-p5,3874,11354
C9-e003Coalescence-mGAM-p7,3812,11211
F100-e003Coalescence-mBHI-p7_S115,3898,11424
F100-e003Coalescence-mGAM-p3_S167,3668,10769
F100-e003Coalescence-mGAM-p7_S163,3414,9869
G9-e003Coalescence-mBHI-p3_S130,3515,10281
G9-e003Coalescence-mBHI-p5_S30,3865,11317
G9-e003Coalescence-mGAM-p3_S178,3833,11216
G9-e003Coalescence-mGAM-p5_S78,2078,6146
G9-e003Coalescence-mGAM-p7_S174,3554,10432
