,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,3385,2144
A5-e003Coalescence-mBHI-inoculumn-redo,4857,3073
A5-e003Coalescence-mGAM-p3,4686,2976
D2-e003Coalescence-Inoculumn-mBHI,4325,2706
D2-e003Coalescence-mBHI-p3,4866,3070
D2-e003Coalescence-mGAM-p5,3415,2146
E5-e003Coalescence-mGAM-p3_S60,4869,3061
E5-e003Coalescence-mGAM-p7_S148,4699,2947
H2-e003Coalescence-mBHI-p3_S45,4080,2522
H2-e003Coalescence-mGAM-p3_S93,2345,1385
H2-e003Coalescence-mGAM-p7_S181,4463,2800
