,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mBHI-p3,2909,5446
B11-e003Coalescence-mGAM-p3,3221,5976
B11-e003Coalescence-mGAM-p7,2140,4010
B5-e003Coalescence-Inoculumn-mGAM,3186,5888
D3-e003Coalescence-Inoculumn-mGAM,3214,5959
D9-e003Coalescence-mBHI-p5,3089,5748
D9-e003Coalescence-mBHI-p7,2778,5192
D9-e003Coalescence-mGAM-p3,3185,5937
D9-e003Coalescence-mGAM-p5,3187,5904
D9-e003Coalescence-mGAM-p7,2958,5456
F111-e003Coalescence-mBHI-p3_S120,2727,5230
F111-e003Coalescence-mBHI-p5_S20,1981,3832
F111-e003Coalescence-mBHI-p7_S116,3034,5631
F111-e003Coalescence-mGAM-p3_S168,3148,5774
F111-e003Coalescence-mGAM-p5_S68,2083,3830
F111-e003Coalescence-mGAM-p7_S164,3062,5684
H9-e003Coalescence-mBHI-p5_S42,3161,5880
H9-e003Coalescence-mBHI-p7_S138,2192,4277
H9-e003Coalescence-mGAM-p5_S90,2901,5373
H9-e003Coalescence-mGAM-p7_S186,2984,5574
