,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
D11-e003Coalescence-mBHI-p5,9,3
C8-e003Coalescence-mGAM-p7,11,3
D10-e003Coalescence-mBHI-p3,8,3
A8-e003Coalescence-mBHI-p3,8,3
A4-e003Coalescence-mBHI-inoculumn-redo,10,3
D10-e003Assembly-mGAM-p5,7,2
C4-e003Coalescence-mGAM-p7,11,2
D3-e004Assembly-mGAM-p7,8,3
C3-e003Coalescence-mGAM-p3,10,3
B4-e003Assembly-mBHI-p5,11,3
D4-e004Assembly-mGAM-p5,5,3
D3-e003Coalescence-Inoculumn-mBHI,11,3
D11-e003Coalescence-mGAM-p5,11,3
A11-e003Coalescence-mGAM-p7,11,3
B10-e003Assembly-mGAM-p5,8,0
C2-e003Coalescence-mGAM-p7,11,3
B11-e003Coalescence-mGAM-p3,9,3
C4-e003Coalescence-mBHI-inoculumn-redo,4,1
D8-e003Assembly-mGAM-p5,2,0
D5-e003Coalescence-mGAM-p5,11,3
A5-e003Coalescence-mGAM-p3,11,3
A2-e003Coalescence-Inoculumn-mGAM,9,3
E5-e004Assembly-mGAM-p5,8,3
D8-e003Coalescence-mGAM-p5,11,2
A12-e003Coalescence-mGAM-p3,7,3
E4-e004Assembly-mGAM-p7,3,1
E3-e004Assembly-mGAM-p3,7,3
D5-e004Assembly-mGAM-p5,2,1
B5-e003Coalescence-Inoculumn-mGAM,11,3
D10-e003Coalescence-mBHI-p5,7,2
D10-e003Coalescence-mGAM-p5,11,3
B11-e003Assembly-mGAM-p5,7,3
B4-e003Coalescence-mGAM-p5,10,2
D4-e003Coalescence-mGAM-p5,11,3
B5-e003Coalescence-mGAM-p5,9,3
B5-e003Coalescence-Inoculumn-mBHI,3,2
C2-e003Coalescence-mGAM-p3,10,2
B5-e003Coalescence-mGAM-p7,10,3
E5-e004Assembly-mGAM-p7,9,3
D5-e003Coalescence-Inoculumn-mGAM,11,3
C4-e003Coalescence-mGAM-p5,11,3
C5-e003Coalescence-mGAM-p7,11,3
C5-e003Coalescence-mBHI-inoculumn-redo,11,3
D5-e003Coalescence-mBHI-p5,11,3
D4-e003Coalescence-mGAM-p7,11,3
E3-e004Assembly-mGAM-p7,5,2
C4-e003Coalescence-mGAM-p3,11,3
B2-e003Coalescence-Inoculumn-mGAM,9,2
D5-e003Coalescence-mGAM-p7,9,3
C5-e003Coalescence-mGAM-p3,11,3
A3-e003Coalescence-Inoculumn-mGAM,2,3
D10-e003Assembly-mGAM-p3,2,0
C3-e003Coalescence-mGAM-p5,9,3
C10-e003GlycerolRevival-mGAM-p2,8,2
A10-e003Coalescence-mGAM-p3,11,3
D11-e003Assembly-mGAM-p3,3,2
D5-e003Coalescence-Inoculumn-mBHI,11,3
B2-e003Coalescence-mGAM-p3,11,3
B4-e003Assembly-mBHI-p3,8,2
C11-e003Coalescence-mGAM-p5,11,3
D5-e004Assembly-mGAM-p7,8,3
D2-e003Coalescence-mGAM-p5,11,3
D3-e003Coalescence-mGAM-p3,11,3
D3-e003Coalescence-mGAM-p5,11,3
C10-e003Coalescence-mGAM-p3,11,3
A5-e003Coalescence-mBHI-inoculumn-redo,3,1
B11-e003Assembly-mGAM-p3,8,2
C3-e003Coalescence-Inoculumn-mGAM,9,3
A3-e003Coalescence-mGAM-p7,11,3
D4-e003Coalescence-Inoculumn-mBHI,11,3
D10-e003Coalescence-mGAM-p7,11,3
C12-e003Coalescence-mGAM-p3,11,3
C11-e003Coalescence-mGAM-p3,11,3
