,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
D11-e003Coalescence-mBHI-p5,7,5
C8-e003Coalescence-mGAM-p7,7,5
D10-e003Coalescence-mBHI-p3,6,4
A8-e003Coalescence-mBHI-p3,4,5
A4-e003Coalescence-mBHI-inoculumn-redo,6,5
D10-e003Assembly-mGAM-p5,6,2
C4-e003Coalescence-mGAM-p7,7,3
D3-e004Assembly-mGAM-p7,5,5
C3-e003Coalescence-mGAM-p3,6,5
B4-e003Assembly-mBHI-p5,7,5
D4-e004Assembly-mGAM-p5,4,5
D3-e003Coalescence-Inoculumn-mBHI,7,5
D11-e003Coalescence-mGAM-p5,6,5
A11-e003Coalescence-mGAM-p7,7,5
B10-e003Assembly-mGAM-p5,2,0
C2-e003Coalescence-mGAM-p7,7,5
B11-e003Coalescence-mGAM-p3,4,4
C4-e003Coalescence-mBHI-inoculumn-redo,7,5
D8-e003Assembly-mGAM-p5,2,0
D5-e003Coalescence-mGAM-p5,5,5
A5-e003Coalescence-mGAM-p3,6,5
A2-e003Coalescence-Inoculumn-mGAM,4,4
E5-e004Assembly-mGAM-p5,3,2
D8-e003Coalescence-mGAM-p5,6,4
A12-e003Coalescence-mGAM-p3,4,4
E4-e004Assembly-mGAM-p7,4,3
E3-e004Assembly-mGAM-p3,5,5
D5-e004Assembly-mGAM-p5,3,3
B5-e003Coalescence-Inoculumn-mGAM,7,5
D10-e003Coalescence-mBHI-p5,0,2
D10-e003Coalescence-mGAM-p5,7,5
B11-e003Assembly-mGAM-p5,4,4
B4-e003Coalescence-mGAM-p5,7,4
D4-e003Coalescence-mGAM-p5,7,5
B5-e003Coalescence-mGAM-p5,7,5
B5-e003Coalescence-Inoculumn-mBHI,1,3
C2-e003Coalescence-mGAM-p3,4,2
B5-e003Coalescence-mGAM-p7,5,3
E5-e004Assembly-mGAM-p7,6,4
D5-e003Coalescence-Inoculumn-mGAM,7,5
C4-e003Coalescence-mGAM-p5,7,5
C5-e003Coalescence-mGAM-p7,7,5
C5-e003Coalescence-mBHI-inoculumn-redo,7,5
D5-e003Coalescence-mBHI-p5,7,5
D4-e003Coalescence-mGAM-p7,7,5
E3-e004Assembly-mGAM-p7,5,4
C4-e003Coalescence-mGAM-p3,7,5
B2-e003Coalescence-Inoculumn-mGAM,7,5
D5-e003Coalescence-mGAM-p7,7,5
C5-e003Coalescence-mGAM-p3,7,5
A3-e003Coalescence-Inoculumn-mGAM,5,4
D10-e003Assembly-mGAM-p3,0,1
C3-e003Coalescence-mGAM-p5,3,5
C10-e003GlycerolRevival-mGAM-p2,5,4
A10-e003Coalescence-mGAM-p3,7,5
D11-e003Assembly-mGAM-p3,4,2
D5-e003Coalescence-Inoculumn-mBHI,6,5
B2-e003Coalescence-mGAM-p3,7,4
B4-e003Assembly-mBHI-p3,1,0
C11-e003Coalescence-mGAM-p5,7,5
D5-e004Assembly-mGAM-p7,3,4
D2-e003Coalescence-mGAM-p5,7,5
D3-e003Coalescence-mGAM-p3,7,5
D3-e003Coalescence-mGAM-p5,7,5
C10-e003Coalescence-mGAM-p3,7,5
A5-e003Coalescence-mBHI-inoculumn-redo,4,1
B11-e003Assembly-mGAM-p3,6,3
C3-e003Coalescence-Inoculumn-mGAM,6,4
A3-e003Coalescence-mGAM-p7,6,5
D4-e003Coalescence-Inoculumn-mBHI,7,5
D10-e003Coalescence-mGAM-p7,7,5
C12-e003Coalescence-mGAM-p3,7,4
C11-e003Coalescence-mGAM-p3,7,5
D5-e004Assembly-mGAM-p3,6,4
C10-e003Coalescence-mBHI-p7,5,5
C11-e003Coalescence-mBHI-p5,7,5
E3-e004Assembly-mGAM-p5,5,5
D10-e003Coalescence-mGAM-p3,7,5
C4-e004Assembly-mBHI-p3,0,3
C2-e003Coalescence-Inoculumn-mGAM,5,4
