,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,0.205,0.773
A5-e003Coalescence-mBHI-inoculumn-redo,0.21,0.774
A5-e003Coalescence-mBHI-p3,1.0,0.0
A5-e003Coalescence-mBHI-p7,0.969,0.027000000000000024
A5-e003Coalescence-mGAM-p3,0.889,0.09799999999999998
D2-e003Coalescence-Inoculumn-mBHI,0.329,0.644
D2-e003Coalescence-mBHI-p3,0.952,0.04300000000000004
D2-e003Coalescence-mBHI-p5,0.981,0.018000000000000016
D2-e003Coalescence-mBHI-p7,1.0,0.0
D2-e003Coalescence-mGAM-p5,0.966,0.031000000000000028
