,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,1402,1302
A5-e003Coalescence-mBHI-inoculumn-redo,1712,1640
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,1193,1128
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,1341,1313
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,1593,1566
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,1665,1610
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,1562,1481
Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,1697,1632
D2-e003Coalescence-Inoculumn-mBHI,1085,1060
D2-e003Coalescence-mGAM-p5,1062,1012
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,1706,1639
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,1717,1650
E5-e003Coalescence-mGAM-p7_S148,1708,1639
H2-e003Coalescence-mGAM-p7_S181,1706,1646
