,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A_G8_C11_AF_AE_mGAM_mGAM_2_S80,7933,9119
B_G8_G11_AF_AE_mGAM_mGAM_2_S176,6696,7735
B_H7_H10_AE_AF_mGAM_mGAM_2_S187,8328,9647
C11-e003Coalescence-mGAM-p1_S778,5937,6974
C11-e003Coalescence-mGAM-p7,5252,6081
C5-e003Coalescence-Inoculumn-mGAM,8429,9750
C_H7_D10_AE_AF_mGAM_mGAM_6_S283,6615,7617
D10-e003Coalescence-mGAM-p1_S771,8440,9758
D10-e003Coalescence-mGAM-p3,7336,8508
D4-e003Coalescence-Inoculumn-mGAM,5154,6020
D_G12_G11_AF_AE_mGAM_mGAM_4_S372,7922,9125
D_G8_C11_AF_AE_mGAM_mGAM_6_S368,8383,9694
D_H11_H10_AE_AF_mGAM_mGAM_4_S383,5015,5614
G11-e003Coalescence-mGAM-p1_S842,8434,9747
H10-e003Coalescence-mBHI-p1_S831,6243,7243
H10-e003Coalescence-mGAM-p1_S835,8434,9754
H100-e003Coalescence-mGAM-p5_S91,7599,8731
