,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,0.14,0.935
B5-e003Coalescence-mBHI-p3,0.37,0.7030000000000001
B5-e003Coalescence-mBHI-p5,0.446,0.5860000000000001
B5-e003Coalescence-mBHI-p7,0.06699999999999995,1.0
B5-e003Coalescence-mGAM-p3,0.289,1.0
B5-e003Coalescence-mGAM-p5,0.0,1.0
B5-e003Coalescence-mGAM-p7,0.0,1.0
D3-e003Coalescence-Inoculumn-mBHI,0.134,0.9339999999999999
D3-e003Coalescence-mBHI-p5,0.367,0.671
D3-e003Coalescence-mBHI-p7,0.034,0.975
D3-e003Coalescence-mGAM-p3,0.243,1.0
D3-e003Coalescence-mGAM-p5,0.022,1.0
F5-e003Coalescence-mBHI-p3_S24,0.292,0.766
F5-e003Coalescence-mBHI-p5_S16,0.125,0.906
F5-e003Coalescence-mBHI-p7_S112,0.0,1.0
F5-e003Coalescence-mGAM-p3_S72,0.333,1.0
F5-e003Coalescence-mGAM-p5_S64,0.03300000000000003,1.0
F5-e003Coalescence-mGAM-p7_S160,0.382,0.806
H3-e003Coalescence-mBHI-p3_S46,0.753,0.273
H3-e003Coalescence-mBHI-p5_S38,0.458,0.5529999999999999
H3-e003Coalescence-mBHI-p7_S134,0.273,0.756
H3-e003Coalescence-mGAM-p3_S94,0.278,1.0
H3-e003Coalescence-mGAM-p5_S86,0.0,1.0
H3-e003Coalescence-mGAM-p7_S182,0.111,1.0
