,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mBHI-p3,1.0,0.907
B11-e003Coalescence-mGAM-p3,0.983,1.0
B11-e003Coalescence-mGAM-p7,1.0,0.267
B5-e003Coalescence-Inoculumn-mGAM,1.0,0.972
D3-e003Coalescence-Inoculumn-mGAM,0.988,0.968
D9-e003Coalescence-mBHI-p3,1.0,1.0
D9-e003Coalescence-mBHI-p5,1.0,1.0
D9-e003Coalescence-mBHI-p7,1.0,1.0
D9-e003Coalescence-mGAM-p3,1.0,0.927
D9-e003Coalescence-mGAM-p5,0.985,0.45299999999999996
D9-e003Coalescence-mGAM-p7,1.0,0.22799999999999998
F111-e003Coalescence-mBHI-p3_S120,1.0,0.789
F111-e003Coalescence-mBHI-p5_S20,1.0,1.0
F111-e003Coalescence-mBHI-p7_S116,0.87,1.0
F111-e003Coalescence-mGAM-p3_S168,0.957,0.56
F111-e003Coalescence-mGAM-p5_S68,1.0,0.903
F111-e003Coalescence-mGAM-p7_S164,1.0,0.519
H9-e003Coalescence-mBHI-p5_S42,1.0,1.0
H9-e003Coalescence-mBHI-p7_S138,1.0,1.0
H9-e003Coalescence-mGAM-p3_S190,1.0,1.0
H9-e003Coalescence-mGAM-p5_S90,1.0,1.0
H9-e003Coalescence-mGAM-p7_S186,1.0,0.826
