,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,1799432.0,234928.0
B5-e003Coalescence-mBHI-p3,1093875.0,150473.0
B5-e003Coalescence-mBHI-p5,929405.0,129168.0
B5-e003Coalescence-mBHI-p7,1242226.0,164129.0
B5-e003Coalescence-mGAM-p3,962975.0,132209.0
B5-e003Coalescence-mGAM-p5,1963424.0,262218.0
B5-e003Coalescence-mGAM-p7,888416.0,120193.0
D3-e003Coalescence-Inoculumn-mBHI,4903600.0,645140.0
D3-e003Coalescence-mBHI-p5,1099688.0,150370.0
D3-e003Coalescence-mBHI-p7,2940919.0,385579.0
D3-e003Coalescence-mGAM-p3,941025.0,126681.0
D3-e003Coalescence-mGAM-p5,4431180.0,585272.0
F5-e003Coalescence-mBHI-p3_S24,1214115.0,163878.0
F5-e003Coalescence-mBHI-p5_S16,929234.0,120634.0
F5-e003Coalescence-mBHI-p7_S112,1157016.0,147463.0
F5-e003Coalescence-mGAM-p3_S72,342061.0,46330.0
F5-e003Coalescence-mGAM-p5_S64,3021205.0,389515.0
F5-e003Coalescence-mGAM-p7_S160,1254031.0,168190.0
H3-e003Coalescence-mBHI-p3_S46,1324100.0,197411.0
H3-e003Coalescence-mBHI-p5_S38,1252112.0,174529.0
H3-e003Coalescence-mBHI-p7_S134,651478.0,87238.0
H3-e003Coalescence-mGAM-p3_S94,616816.0,80886.0
H3-e003Coalescence-mGAM-p5_S86,1384348.0,178618.0
H3-e003Coalescence-mGAM-p7_S182,1497993.0,197438.0
