,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,3475.0,2734.0
A3-e003Coalescence-mBHI-p3,3654.0,3705.0
A3-e003Coalescence-mGAM-p7,33403.0,29541.0
B2-e003Coalescence-Inoculumn-mBHI,10119.0,9404.0
B2-e003Coalescence-mBHI-p3,5661.0,5323.0
B2-e003Coalescence-mBHI-p5,4077.0,3756.0
B2-e003Coalescence-mGAM-p3,38307.0,34190.0
E3-e003Coalescence-mBHI-p3_S10,4269.0,3801.0
E3-e003Coalescence-mBHI-p5_S2,5791.0,5544.0
E3-e003Coalescence-mGAM-p3_S58,33966.0,29383.0
E3-e003Coalescence-mGAM-p5_S50,74648.0,65214.0
E3-e003Coalescence-mGAM-p7_S146,18652.0,16642.0
F2-e003Coalescence-mBHI-p3_S21,2293.0,1949.0
F2-e003Coalescence-mBHI-p5_S13,15649.0,15430.0
F2-e003Coalescence-mGAM-p3_S69,34087.0,29072.0
F2-e003Coalescence-mGAM-p5_S61,118360.0,103189.0
F2-e003Coalescence-mGAM-p7_S157,72571.0,62320.0
