,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mBHI-p3,0.702,0.397
B10-e003Coalescence-mBHI-p5,0.69,0.484
B10-e003Coalescence-mGAM-p3,0.728,0.865
B10-e003Coalescence-mGAM-p7,0.0,1.0
B4-e003Coalescence-Inoculumn-mGAM,0.708,0.519
C3-e003Coalescence-Inoculumn-mGAM,0.7110000000000001,0.509
C9-e003Coalescence-mBHI-p3,0.558,0.571
C9-e003Coalescence-mBHI-p5,0.602,0.471
C9-e003Coalescence-mBHI-p7,0.20899999999999996,0.844
C9-e003Coalescence-mGAM-p3,0.474,0.753
C9-e003Coalescence-mGAM-p5,0.6579999999999999,0.796
C9-e003Coalescence-mGAM-p7,0.15300000000000002,0.989
F100-e003Coalescence-mBHI-p7_S115,0.6,0.5
F100-e003Coalescence-mGAM-p3_S167,0.904,0.978
F100-e003Coalescence-mGAM-p5_S67,0.864,0.854
F100-e003Coalescence-mGAM-p7_S163,0.7,0.97
G9-e003Coalescence-mBHI-p3_S130,0.29800000000000004,0.787
G9-e003Coalescence-mBHI-p5_S30,0.21499999999999997,0.821
G9-e003Coalescence-mGAM-p3_S178,0.312,0.753
G9-e003Coalescence-mGAM-p5_S78,0.2775,0.889
G9-e003Coalescence-mGAM-p7_S174,0.502,0.984
