,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,280.0,103.0
A3-e003Coalescence-mBHI-p3,718.0,306.0
A3-e003Coalescence-mGAM-p7,242.0,116.0
B2-e003Coalescence-Inoculumn-mBHI,553.0,260.0
B2-e003Coalescence-mBHI-p3,885.0,405.0
B2-e003Coalescence-mBHI-p5,232.0,104.0
B2-e003Coalescence-mBHI-p7,200.0,89.0
B2-e003Coalescence-mGAM-p3,288.0,131.0
E3-e003Coalescence-mBHI-p3_S10,731.0,401.0
E3-e003Coalescence-mBHI-p5_S2,307.0,132.0
E3-e003Coalescence-mGAM-p3_S58,259.0,124.0
E3-e003Coalescence-mGAM-p5_S50,642.0,325.0
E3-e003Coalescence-mGAM-p7_S146,480.0,263.0
F2-e003Coalescence-mBHI-p3_S21,521.0,232.0
F2-e003Coalescence-mBHI-p5_S13,629.0,316.0
F2-e003Coalescence-mGAM-p3_S69,525.0,221.0
F2-e003Coalescence-mGAM-p5_S61,513.0,245.0
