,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B3-e003Coalescence-Inoculumn-mBHI,1004,1789
C4-e003Coalescence-mBHI-inoculumn-redo,1004,1789
B4-e003Coalescence-Inoculumn-mBHI,996,1779
B4-e003Coalescence-mBHI-p3,733,1211
C3-e003Coalescence-mBHI-inoculumn-redo,1000,1784
C3-e003Coalescence-mBHI-p5,691,1250
C3-e003Coalescence-mBHI-p7,1003,1788
C3-e003Coalescence-mGAM-p7,546,1108
F4-e003Coalescence-mBHI-p5_S15,927,1695
F4-e003Coalescence-mBHI-p7_S111,947,1669
G3-e003Coalescence-mBHI-p3_S34,983,1741
G3-e003Coalescence-mBHI-p5_S26,990,1767
G3-e003Coalescence-mBHI-p7_S122,843,1506
G3-e003Coalescence-mGAM-p5_S74,594,954
