,0
C3-e004Assembly-mBHI-p3,5.0
B10-e003GlycerolRevival-mGAM-p2,4.0
B3-e003Coalescence-mBHI-p5,8.0
C2-e003Coalescence-mBHI-inoculumn-redo,8.0
B2-e003Coalescence-Inoculumn-mBHI,4.0
C10-e003Coalescence-mGAM-p5,11.0
C4-e003Assembly-mBHI-p5,4.0
A3-e003Coalescence-mBHI-p3,4.0
C10-e003Coalescence-mBHI-p5,8.0
B9-e003Coalescence-mBHI-p3,6.0
C3-e003Coalescence-mBHI-inoculumn-redo,17.0
e004-inoculumn-fecal-AR,8.0
B5-e003Coalescence-mGAM-p3,12.0
A4-e003Coalescence-mBHI-p3,4.0
C9-e003GlycerolRevival-mGAM-p2,4.0
F3-e004Assembly-epsilon-p5,6.0
C9-e003Coalescence-mGAM-p5,8.0
C2-e003Coalescence-mGAM-p5,5.0
C8-e003Coalescence-mBHI-p5,32.0
B8-e003Coalescence-mGAM-p7,6.0
B4-e003Coalescence-Inoculumn-mBHI,21.0
B8-e003Coalescence-mBHI-p7,5.0
B3-e004Assembly-mBHI-p3,5.0
D3-e003Coalescence-Inoculumn-mGAM,11.0
B11-e003Coalescence-mBHI-p3,6.0
C5-e003Coalescence-Inoculumn-mGAM,6.0
C4-e003Coalescence-mBHI-p5,15.0
G3-e004Assembly-epsilon-p5,16.0
BC-Fecal,5.0
A4-e003Coalescence-Inoculumn-mGAM,8.0
B4-e003Coalescence-mBHI-p3,6.0
A9-e003Coalescence-mGAM-p5,9.0
C10-e003Coalescence-mGAM-p7,4.0
F3-e004Assembly-epsilon-p7,6.0
C10-e003Coalescence-mBHI-p3,8.0
G5-e003Coalescence-mBHI-p7_S124,17.0
H4-e003Coalescence-mGAM-p7_S183,8.0
F5-e003Coalescence-mGAM-p5_S64,11.0
F5-e003Coalescence-mGAM-p7_S160,7.0
F8-e003Coalescence-mBHI-p3_S117,15.0
H3-e003Coalescence-mBHI-p3_S46,6.0
F100-e003Coalescence-mGAM-p7_S163,8.0
F9-e003Coalescence-mBHI-p5_S18,9.0
H3-e003Coalescence-mBHI-p7_S134,4.0
E3-e003Coalescence-mGAM-p3_S58,4.0
G4-e003Coalescence-mBHI-p5_S27,12.0
G2-e003Coalescence-mBHI-p3_S33,6.0
E9-e003Coalescence-mBHI-p5_S6,8.0
G111-e003Coalescence-mGAM-p5_S80,10.0
G100-e003Coalescence-mGAM-p3_S179,4.0
F111-e003Coalescence-mGAM-p5_S68,7.0
G111-e003Coalescence-mBHI-p5_S32,9.0
G5-e003Coalescence-mBHI-p3_S36,6.0
H9-e003Coalescence-mGAM-p3_S190,4.0
E3-e003Coalescence-mBHI-p3_S10,4.0
G8-e003Coalescence-mGAM-p3_S177,9.0
H3-e003Coalescence-mGAM-p3_S94,9.0
H4-e003Coalescence-mGAM-p3_S95,4.0
E100-e003Coalescence-mBHI-p7_S103,14.0
F9-e003Coalescence-mGAM-p5_S66,5.0
H100-e003Coalescence-mGAM-p7_S187,4.0
E100-e003Coalescence-mGAM-p3_S155,4.0
E3-e003Coalescence-mGAM-p5_S50,6.0
F5-e003Coalescence-mGAM-p3_S72,4.0
E9-e003Coalescence-mBHI-p7_S102,12.0
F111-e003Coalescence-mGAM-p7_S164,5.0
H100-e003Coalescence-mBHI-p5_S43,7.0
F2-e003Coalescence-mGAM-p5_S61,5.0
F5-e003Coalescence-mBHI-p5_S16,4.0
F8-e003Coalescence-mGAM-p5_S65,4.0
G9-e003Coalescence-mGAM-p5_S78,5.0
G8-e003Coalescence-mGAM-p5_S77,7.0
G3-e003Coalescence-mBHI-p3_S34,12.0
G100-e003Coalescence-mBHI-p5_S31,10.0
F9-e003Coalescence-mBHI-p3_S118,4.0
G3-e003Coalescence-mBHI-p5_S26,15.0
G5-e003Coalescence-mBHI-p5_S28,19.0
G4-e003Coalescence-mBHI-p3_S35,17.0
H9-e003Coalescence-mGAM-p5_S90,7.0
E8-e003Coalescence-mBHI-p7_S101,4.0
E4-e003Coalescence-mBHI-p5_S3,10.0
E4-e003Coalescence-mGAM-p5_S51,8.0
G9-e003Coalescence-mGAM-p7_S174,7.0
F2-e003Coalescence-mBHI-p3_S21,4.0
E8-e003Coalescence-mGAM-p3_S153,30.0
G111-e003Coalescence-mGAM-p3_S180,12.0
G5-e003Coalescence-mGAM-p3_S84,6.0
E100-e003Coalescence-mBHI-p5_S7,8.0
F9-e003Coalescence-mGAM-p7_S162,4.0
F8-e003Coalescence-mGAM-p7_S161,4.0
F3-e003Coalescence-mBHI-p3_S22,4.0
G3-e003Coalescence-mBHI-p7_S122,8.0
G5-e003Coalescence-mGAM-p5_S76,8.0
G5-e003Coalescence-mGAM-p7_S172,6.0
G4-e003Coalescence-mGAM-p5_S75,7.0
G8-e003Coalescence-mBHI-p3_S129,10.0
G2-e003Coalescence-mGAM-p5_S73,7.0
H9-e003Coalescence-mGAM-p7_S186,10.0
E100-e003Coalescence-mGAM-p5_S55,4.0
G4-e003Coalescence-mGAM-p3_S83,4.0
F4-e003Coalescence-mBHI-p7_S111,10.0
H3-e003Coalescence-mGAM-p7_S182,6.0
G4-e003Coalescence-mGAM-p7_S171,4.0
F3-e003Coalescence-mBHI-p5_S14,4.0
F100-e003Coalescence-mBHI-p7_S115,14.0
E3-e003Coalescence-mGAM-p7_S146,5.0
F100-e003Coalescence-mGAM-p3_S167,7.0
G4-e003Coalescence-mBHI-p7_S123,8.0
E9-e003Coalescence-mGAM-p3_S154,8.0
F3-e003Coalescence-mGAM-p5_S62,4.0
H4-e003Coalescence-mBHI-p7_S135,11.0
E3-e003Coalescence-mBHI-p5_S2,4.0
G111-e003Coalescence-mBHI-p7_S128,4.0
H3-e003Coalescence-mBHI-p5_S38,5.0
G3-e003Coalescence-mGAM-p3_S82,4.0
F111-e003Coalescence-mGAM-p3_S168,10.0
F8-e003Coalescence-mBHI-p7_S113,4.0
H4-e003Coalescence-mBHI-p3_S47,24.0
F3-e003Coalescence-mBHI-p7_S110,4.0
F100-e003Coalescence-mGAM-p5_S67,4.0
G8-e003Coalescence-mBHI-p7_S125,8.0
F4-e003Coalescence-mBHI-p5_S15,10.0
F2-e003Coalescence-mBHI-p5_S13,9.0
F4-e003Coalescence-mBHI-p3_S23,4.0
F2-e003Coalescence-mGAM-p3_S69,5.0
E9-e003Coalescence-mGAM-p5_S54,4.0
G3-e003Coalescence-mGAM-p5_S74,6.0
G100-e003Coalescence-mGAM-p5_S79,4.0
H100-e003Coalescence-mGAM-p5_S91,10.0
G9-e003Coalescence-mBHI-p3_S130,7.0
E4-e003Coalescence-mGAM-p7_S147,7.0
E4-e003Coalescence-mGAM-p3_S59,5.0
H4-e003Coalescence-mBHI-p5_S39,11.0
F4-e003Coalescence-mGAM-p3_S71,4.0
H100-e003Coalescence-mBHI-p7_S139,7.0
G8-e003Coalescence-mBHI-p5_S29,16.0
G2-e003Coalescence-mBHI-p5_S25,10.0
G8-e003Coalescence-mGAM-p7_S173,10.0
E4-e003Coalescence-mBHI-p3_S11,5.0
H9-e003Coalescence-mBHI-p5_S42,7.0
F5-e003Coalescence-mBHI-p3_S24,6.0
G9-e003Coalescence-mBHI-p5_S30,12.0
F111-e003Coalescence-mBHI-p7_S116,6.0
F5-e003Coalescence-mBHI-p7_S112,4.0
F4-e003Coalescence-mGAM-p7_S159,4.0
F111-e003Coalescence-mBHI-p3_S120,7.0
H3-e003Coalescence-mGAM-p5_S86,6.0
E4-e003Coalescence-mBHI-p7_S99,10.0
H4-e003Coalescence-mGAM-p5_S87,5.0
E100-e003Coalescence-mGAM-p7_S151,5.0
G9-e003Coalescence-mGAM-p3_S178,14.0
H9-e003Coalescence-mBHI-p7_S138,5.0
G2-e003Coalescence-mGAM-p3_S81,4.0
F111-e003Coalescence-mBHI-p5_S20,4.0
F8-e003Coalescence-mBHI-p5_S17,9.0
G100-e003Coalescence-mBHI-p7_S127,15.0
