,s1,s2,fixed_diffs,num_sites,Species
0,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM,0,2944905,100099
1,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-mBHI-inoculumn-redo,0,2975659,100099
2,A2-e003Coalescence-Inoculumn-mBHI,A3-e003Coalescence-Inoculumn-mGAM,3000,2859804,100099
3,A2-e003Coalescence-Inoculumn-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,11895,2841918,100099
4,A2-e003Coalescence-Inoculumn-mBHI,A4-e003Coalescence-Inoculumn-mGAM,424,2934088,100099
5,A2-e003Coalescence-Inoculumn-mBHI,A4-e003Coalescence-mBHI-inoculumn-redo,17811,2897616,100099
6,A2-e003Coalescence-Inoculumn-mBHI,A5-e003Coalescence-Inoculumn-mBHI,9376,2693129,100099
7,A2-e003Coalescence-Inoculumn-mBHI,A5-e003Coalescence-Inoculumn-mGAM,1546,2900492,100099
8,A2-e003Coalescence-Inoculumn-mBHI,A5-e003Coalescence-mBHI-inoculumn-redo,6336,2911660,100099
9,A2-e003Coalescence-Inoculumn-mBHI,B10-e003GlycerolRevival-mGAM-p2,19199,2167635,100099
10,A2-e003Coalescence-Inoculumn-mBHI,B11-e003GlycerolRevival-mGAM-p2,27638,2706036,100099
11,A2-e003Coalescence-Inoculumn-mBHI,B2-e003Coalescence-Inoculumn-mBHI,10132,2893220,100099
12,A2-e003Coalescence-Inoculumn-mBHI,B2-e003Coalescence-Inoculumn-mGAM,1217,2928014,100099
13,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI,26125,2868726,100099
14,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM,29262,2848921,100099
15,A2-e003Coalescence-Inoculumn-mBHI,B4-e003Coalescence-Inoculumn-mBHI,26296,2877773,100099
16,A2-e003Coalescence-Inoculumn-mBHI,B4-e003Coalescence-Inoculumn-mGAM,13674,2890386,100099
17,A2-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-Inoculumn-mBHI,13583,2888784,100099
18,A2-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-Inoculumn-mGAM,29254,2845016,100099
19,A2-e003Coalescence-Inoculumn-mBHI,B8-e003GlycerolRevival-mGAM-p2,3,2096194,100099
20,A2-e003Coalescence-Inoculumn-mBHI,B9-e003GlycerolRevival-mGAM-p2,26041,2567595,100099
21,A2-e003Coalescence-Inoculumn-mBHI,C10-e003GlycerolRevival-mGAM-p2,24803,2815100,100099
22,A2-e003Coalescence-Inoculumn-mBHI,C11-e003GlycerolRevival-mGAM-p2,27730,2702286,100099
23,A2-e003Coalescence-Inoculumn-mBHI,C2-e003Coalescence-Inoculumn-mGAM,1772,2921418,100099
24,A2-e003Coalescence-Inoculumn-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,18132,2887108,100099
25,A2-e003Coalescence-Inoculumn-mBHI,C3-e003Coalescence-Inoculumn-mGAM,14039,2893262,100099
26,A2-e003Coalescence-Inoculumn-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,26091,2858372,100099
27,A2-e003Coalescence-Inoculumn-mBHI,C3-e003GlycerolRevival-mBHI-p2,26060,2665756,100099
28,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-Inoculumn-mGAM,26035,2854061,100099
29,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,26129,2882854,100099
30,A2-e003Coalescence-Inoculumn-mBHI,C4-e003GlycerolRevival-mBHI-p2,26126,2866401,100099
31,A2-e003Coalescence-Inoculumn-mBHI,C5-e003Coalescence-Inoculumn-mGAM,13649,2902034,100099
32,A2-e003Coalescence-Inoculumn-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,13655,2903829,100099
33,A2-e003Coalescence-Inoculumn-mBHI,C5-e003GlycerolRevival-mBHI-p2,20457,2844522,100099
34,A2-e003Coalescence-Inoculumn-mBHI,C9-e003GlycerolRevival-mGAM-p2,19672,2817432,100099
35,A2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,12437,2885541,100099
36,A2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mGAM,1736,2897226,100099
37,A2-e003Coalescence-Inoculumn-mBHI,D3-e003Coalescence-Inoculumn-mBHI,13712,2920595,100099
38,A2-e003Coalescence-Inoculumn-mBHI,D3-e003Coalescence-Inoculumn-mGAM,29424,2864574,100099
39,A2-e003Coalescence-Inoculumn-mBHI,D4-e003Coalescence-Inoculumn-mBHI,13866,2903907,100099
40,A2-e003Coalescence-Inoculumn-mBHI,D4-e003Coalescence-Inoculumn-mGAM,14413,2409455,100099
41,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI,29594,2875508,100099
42,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM,28482,2784327,100099
43,A2-e003Coalescence-Inoculumn-mGAM,A2-e003Coalescence-mBHI-inoculumn-redo,0,2956327,100099
44,A2-e003Coalescence-Inoculumn-mGAM,A3-e003Coalescence-Inoculumn-mGAM,2957,2853963,100099
45,A2-e003Coalescence-Inoculumn-mGAM,A3-e003Coalescence-mBHI-inoculumn-redo,11834,2826667,100099
46,A2-e003Coalescence-Inoculumn-mGAM,A4-e003Coalescence-Inoculumn-mGAM,424,2929180,100099
47,A2-e003Coalescence-Inoculumn-mGAM,A4-e003Coalescence-mBHI-inoculumn-redo,17660,2881258,100099
48,A2-e003Coalescence-Inoculumn-mGAM,A5-e003Coalescence-Inoculumn-mBHI,9282,2677019,100099
49,A2-e003Coalescence-Inoculumn-mGAM,A5-e003Coalescence-Inoculumn-mGAM,1528,2893368,100099
50,A2-e003Coalescence-Inoculumn-mGAM,A5-e003Coalescence-mBHI-inoculumn-redo,6274,2895126,100099
51,A2-e003Coalescence-Inoculumn-mGAM,B10-e003GlycerolRevival-mGAM-p2,19127,2161580,100099
52,A2-e003Coalescence-Inoculumn-mGAM,B11-e003GlycerolRevival-mGAM-p2,27446,2689881,100099
53,A2-e003Coalescence-Inoculumn-mGAM,B2-e003Coalescence-Inoculumn-mBHI,10009,2876667,100099
54,A2-e003Coalescence-Inoculumn-mGAM,B2-e003Coalescence-Inoculumn-mGAM,1188,2922040,100099
55,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mBHI,25925,2852540,100099
56,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM,29036,2831843,100099
57,A2-e003Coalescence-Inoculumn-mGAM,B4-e003Coalescence-Inoculumn-mBHI,26068,2859538,100099
58,A2-e003Coalescence-Inoculumn-mGAM,B4-e003Coalescence-Inoculumn-mGAM,13541,2875585,100099
59,A2-e003Coalescence-Inoculumn-mGAM,B5-e003Coalescence-Inoculumn-mBHI,13415,2870455,100099
60,A2-e003Coalescence-Inoculumn-mGAM,B5-e003Coalescence-Inoculumn-mGAM,29013,2827513,100099
61,A2-e003Coalescence-Inoculumn-mGAM,B8-e003GlycerolRevival-mGAM-p2,3,2096303,100099
62,A2-e003Coalescence-Inoculumn-mGAM,B9-e003GlycerolRevival-mGAM-p2,25801,2551996,100099
63,A2-e003Coalescence-Inoculumn-mGAM,C10-e003GlycerolRevival-mGAM-p2,24615,2803821,100099
64,A2-e003Coalescence-Inoculumn-mGAM,C11-e003GlycerolRevival-mGAM-p2,27493,2686059,100099
65,A2-e003Coalescence-Inoculumn-mGAM,C2-e003Coalescence-Inoculumn-mGAM,1739,2917853,100099
66,A2-e003Coalescence-Inoculumn-mGAM,C2-e003Coalescence-mBHI-inoculumn-redo,17983,2869239,100099
67,A2-e003Coalescence-Inoculumn-mGAM,C3-e003Coalescence-Inoculumn-mGAM,13933,2879438,100099
68,A2-e003Coalescence-Inoculumn-mGAM,C3-e003Coalescence-mBHI-inoculumn-redo,25876,2840869,100099
69,A2-e003Coalescence-Inoculumn-mGAM,C3-e003GlycerolRevival-mBHI-p2,25803,2649679,100099
70,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM,25967,2847155,100099
71,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo,25918,2867481,100099
72,A2-e003Coalescence-Inoculumn-mGAM,C4-e003GlycerolRevival-mBHI-p2,25919,2850131,100099
73,A2-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,13587,2890617,100099
74,A2-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-mBHI-inoculumn-redo,13575,2887078,100099
75,A2-e003Coalescence-Inoculumn-mGAM,C5-e003GlycerolRevival-mBHI-p2,20286,2828201,100099
76,A2-e003Coalescence-Inoculumn-mGAM,C9-e003GlycerolRevival-mGAM-p2,19539,2802351,100099
77,A2-e003Coalescence-Inoculumn-mGAM,D2-e003Coalescence-Inoculumn-mBHI,12341,2868678,100099
78,A2-e003Coalescence-Inoculumn-mGAM,D2-e003Coalescence-Inoculumn-mGAM,1668,2889158,100099
79,A2-e003Coalescence-Inoculumn-mGAM,D3-e003Coalescence-Inoculumn-mBHI,13599,2903253,100099
80,A2-e003Coalescence-Inoculumn-mGAM,D3-e003Coalescence-Inoculumn-mGAM,29205,2847923,100099
81,A2-e003Coalescence-Inoculumn-mGAM,D4-e003Coalescence-Inoculumn-mBHI,13761,2886702,100099
82,A2-e003Coalescence-Inoculumn-mGAM,D4-e003Coalescence-Inoculumn-mGAM,14335,2401417,100099
83,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mBHI,29361,2858425,100099
84,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM,28200,2766386,100099
85,A2-e003Coalescence-mBHI-inoculumn-redo,A3-e003Coalescence-Inoculumn-mGAM,3025,2869939,100099
86,A2-e003Coalescence-mBHI-inoculumn-redo,A3-e003Coalescence-mBHI-inoculumn-redo,11972,2853181,100099
87,A2-e003Coalescence-mBHI-inoculumn-redo,A4-e003Coalescence-Inoculumn-mGAM,441,2943191,100099
88,A2-e003Coalescence-mBHI-inoculumn-redo,A4-e003Coalescence-mBHI-inoculumn-redo,17938,2910827,100099
89,A2-e003Coalescence-mBHI-inoculumn-redo,A5-e003Coalescence-Inoculumn-mBHI,9424,2699861,100099
90,A2-e003Coalescence-mBHI-inoculumn-redo,A5-e003Coalescence-Inoculumn-mGAM,1544,2910505,100099
91,A2-e003Coalescence-mBHI-inoculumn-redo,A5-e003Coalescence-mBHI-inoculumn-redo,6364,2923572,100099
92,A2-e003Coalescence-mBHI-inoculumn-redo,B10-e003GlycerolRevival-mGAM-p2,19296,2173711,100099
93,A2-e003Coalescence-mBHI-inoculumn-redo,B11-e003GlycerolRevival-mGAM-p2,27757,2715995,100099
94,A2-e003Coalescence-mBHI-inoculumn-redo,B2-e003Coalescence-Inoculumn-mBHI,10189,2904306,100099
95,A2-e003Coalescence-mBHI-inoculumn-redo,B2-e003Coalescence-Inoculumn-mGAM,1203,2938127,100099
96,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI,26291,2878778,100099
97,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mGAM,29335,2857843,100099
98,A2-e003Coalescence-mBHI-inoculumn-redo,B4-e003Coalescence-Inoculumn-mBHI,26436,2886558,100099
99,A2-e003Coalescence-mBHI-inoculumn-redo,B4-e003Coalescence-Inoculumn-mGAM,13711,2898772,100099
