,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM
C9-e003Coalescence-mGAM-p3,0,3
C11-e003Coalescence-mBHI-p3,0,2
C9-e003Coalescence-mGAM-p7,0,2
C8-e003Coalescence-mGAM-p7,0,3
D10-e003Coalescence-mBHI-p3,0,1
F3-e004Assembly-epsilon-p3,0,2
A4-e003Coalescence-mBHI-p7,0,1
B9-e003Coalescence-mGAM-p5,0,3
A4-e003Coalescence-mBHI-inoculumn-redo,0,3
B3-e003Coalescence-mBHI-p3,0,3
D4-e003Coalescence-mBHI-p5,0,1
C2-e003Coalescence-mBHI-p5,0,2
B3-e004Assembly-mBHI-p7,0,1
D4-e003Coalescence-mBHI-p3,0,3
C4-e003GlycerolRevival-mBHI-p2,0,3
D10-e003Assembly-mGAM-p5,0,1
C3-e004Assembly-mBHI-p5,0,2
D3-e004Assembly-mGAM-p7,0,3
D3-e003Coalescence-Inoculumn-mBHI,0,1
C3-e003Coalescence-mBHI-p7,0,3
B8-e003Coalescence-mBHI-p5,0,3
C2-e003Coalescence-mGAM-p7,0,3
B11-e003Coalescence-mGAM-p3,0,3
C4-e003Coalescence-mBHI-inoculumn-redo,0,2
D5-e003Coalescence-mBHI-p7,0,3
C9-e003Coalescence-mBHI-p5,0,3
C2-e003Coalescence-mBHI-p3,0,3
D9-e003Coalescence-mGAM-p7,0,3
D4-e003Coalescence-mBHI-p7,0,2
E3-e004Assembly-mGAM-p3,0,3
B10-e003Coalescence-mGAM-p3,0,2
B5-e003Coalescence-Inoculumn-mGAM,0,2
D5-e003Coalescence-mBHI-p3,0,3
D9-e003Coalescence-mGAM-p5,0,3
C9-e003Coalescence-mBHI-p3,0,3
D10-e003Coalescence-mGAM-p5,0,3
C8-e003Coalescence-mBHI-p7,0,2
G3-e004Assembly-epsilon-p7,0,3
D4-e003Coalescence-mGAM-p5,0,3
C3-e004Assembly-mBHI-p7,0,2
B5-e003Coalescence-mGAM-p5,0,3
G3-e004Assembly-epsilon-p3,0,3
B5-e003Coalescence-mGAM-p7,0,3
B10-e003Coalescence-mBHI-p5,0,2
B3-e004Assembly-mBHI-p5,0,3
B5-e003Coalescence-mBHI-p3,0,2
C5-e003Coalescence-mGAM-p7,0,1
C5-e003Coalescence-mBHI-inoculumn-redo,0,3
A10-e003Coalescence-mBHI-p5,0,1
AM-Fecal,0,3
A4-e003Coalescence-mGAM-p5,0,3
D5-e003Coalescence-mBHI-p5,0,3
D4-e003Coalescence-mGAM-p7,0,3
E3-e004Assembly-mGAM-p7,0,3
C4-e003Coalescence-mGAM-p3,0,1
B2-e003Coalescence-Inoculumn-mGAM,0,1
C5-e003Coalescence-mBHI-p5,0,3
C5-e003Coalescence-mGAM-p3,0,2
A9-e003Coalescence-mBHI-p3,0,3
D3-e003Coalescence-mBHI-p7,0,3
C3-e003Coalescence-mBHI-p5,0,1
A9-e003Coalescence-mBHI-p5,0,3
C11-e003Coalescence-mGAM-p5,0,2
B3-e003Coalescence-Inoculumn-mBHI,0,3
BG-Fecal,0,0
D3-e003Coalescence-mGAM-p3,0,1
D9-e003Coalescence-mGAM-p3,0,2
D3-e003Coalescence-mGAM-p5,0,3
C10-e003Coalescence-mGAM-p3,0,2
B9-e003Coalescence-mGAM-p7,0,2
B11-e003Coalescence-mGAM-p7,0,1
C3-e003Coalescence-Inoculumn-mGAM,0,0
B5-e003Coalescence-mBHI-p7,0,3
A3-e003Coalescence-mGAM-p7,0,1
D4-e003Coalescence-Inoculumn-mBHI,0,3
A4-e003Coalescence-mBHI-p5,0,0
B3-e003Coalescence-mBHI-p7,0,3
D10-e003Coalescence-mGAM-p7,0,3
C12-e003Coalescence-mGAM-p3,0,2
C11-e003Coalescence-mGAM-p3,0,3
A10-e003Coalescence-mBHI-p7,0,2
C10-e003Coalescence-mBHI-p7,0,3
B9-e003Coalescence-mBHI-p5,0,3
B10-e003Coalescence-mBHI-p3,0,1
C11-e003Coalescence-mBHI-p5,0,2
E3-e004Assembly-mGAM-p5,0,2
D10-e003Coalescence-mGAM-p3,0,3
A9-e003Coalescence-mBHI-p7,0,3
C2-e003Coalescence-Inoculumn-mGAM,0,1
B3-e003Coalescence-Inoculumn-mGAM,0,3
B4-e003Coalescence-Inoculumn-mGAM,0,3
A10-e003Coalescence-mGAM-p7,0,3
D9-e003Coalescence-mBHI-p5,0,3
C4-e003Coalescence-Inoculumn-mGAM,0,2
D4-e003Coalescence-mGAM-p3,0,3
B9-e003Coalescence-mBHI-p7,0,2
C3-e003Coalescence-mGAM-p7,0,1
D9-e003Coalescence-mBHI-p7,0,3
D3-e004Assembly-mGAM-p5,0,2
C5-e003Coalescence-mBHI-p7,0,2
C11-e003Coalescence-mGAM-p7,0,3
D10-e003Coalescence-mBHI-p7,0,2
C9-e003Coalescence-mBHI-p7,0,1
B8-e003Coalescence-mGAM-p5,0,2
C3-e004Assembly-mBHI-p3,0,1
B3-e003Coalescence-mBHI-p5,0,2
C2-e003Coalescence-mBHI-inoculumn-redo,0,3
C10-e003Coalescence-mGAM-p5,0,3
C10-e003Coalescence-mBHI-p5,0,3
B9-e003Coalescence-mBHI-p3,0,2
C3-e003Coalescence-mBHI-inoculumn-redo,0,3
e004-inoculumn-fecal-AR,0,2
B5-e003Coalescence-mGAM-p3,0,3
F3-e004Assembly-epsilon-p5,0,2
C9-e003Coalescence-mGAM-p5,0,3
C2-e003Coalescence-mGAM-p5,0,2
C8-e003Coalescence-mBHI-p5,0,3
B8-e003Coalescence-mGAM-p7,0,2
B4-e003Coalescence-Inoculumn-mBHI,0,3
B8-e003Coalescence-mBHI-p7,0,2
B3-e004Assembly-mBHI-p3,0,0
D3-e003Coalescence-Inoculumn-mGAM,0,3
B11-e003Coalescence-mBHI-p3,0,3
C5-e003Coalescence-Inoculumn-mGAM,0,3
C4-e003Coalescence-mBHI-p5,0,3
G3-e004Assembly-epsilon-p5,0,2
BC-Fecal,0,1
A4-e003Coalescence-Inoculumn-mGAM,0,3
B4-e003Coalescence-mBHI-p3,0,3
A9-e003Coalescence-mGAM-p5,0,3
F3-e004Assembly-epsilon-p7,0,2
C10-e003Coalescence-mBHI-p3,0,3
G5-e003Coalescence-mBHI-p7_S124,0,3
H4-e003Coalescence-mGAM-p7_S183,0,2
F5-e003Coalescence-mGAM-p5_S64,0,3
F5-e003Coalescence-mGAM-p7_S160,0,1
F8-e003Coalescence-mBHI-p3_S117,0,3
H3-e003Coalescence-mBHI-p3_S46,0,3
F100-e003Coalescence-mGAM-p7_S163,0,3
F9-e003Coalescence-mBHI-p5_S18,0,3
G4-e003Coalescence-mBHI-p5_S27,0,3
G2-e003Coalescence-mBHI-p3_S33,0,2
E9-e003Coalescence-mBHI-p5_S6,0,3
G111-e003Coalescence-mGAM-p5_S80,0,3
F111-e003Coalescence-mGAM-p5_S68,0,2
G111-e003Coalescence-mBHI-p5_S32,0,3
G5-e003Coalescence-mBHI-p3_S36,0,3
G8-e003Coalescence-mGAM-p3_S177,0,2
H3-e003Coalescence-mGAM-p3_S94,0,3
E100-e003Coalescence-mBHI-p7_S103,0,3
F9-e003Coalescence-mGAM-p5_S66,0,2
E3-e003Coalescence-mGAM-p5_S50,0,2
E9-e003Coalescence-mBHI-p7_S102,0,3
F111-e003Coalescence-mGAM-p7_S164,0,2
H100-e003Coalescence-mBHI-p5_S43,0,3
F2-e003Coalescence-mGAM-p5_S61,0,2
G9-e003Coalescence-mGAM-p5_S78,0,0
G8-e003Coalescence-mGAM-p5_S77,0,2
G3-e003Coalescence-mBHI-p3_S34,0,2
G100-e003Coalescence-mBHI-p5_S31,0,3
G3-e003Coalescence-mBHI-p5_S26,0,3
G5-e003Coalescence-mBHI-p5_S28,0,3
G4-e003Coalescence-mBHI-p3_S35,0,3
H9-e003Coalescence-mGAM-p5_S90,0,2
E4-e003Coalescence-mBHI-p5_S3,0,3
E4-e003Coalescence-mGAM-p5_S51,0,2
G9-e003Coalescence-mGAM-p7_S174,0,2
E8-e003Coalescence-mGAM-p3_S153,0,3
G111-e003Coalescence-mGAM-p3_S180,0,3
G5-e003Coalescence-mGAM-p3_S84,0,3
E100-e003Coalescence-mBHI-p5_S7,0,3
G3-e003Coalescence-mBHI-p7_S122,0,2
G5-e003Coalescence-mGAM-p5_S76,0,2
G5-e003Coalescence-mGAM-p7_S172,0,0
