,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
B4-e003Coalescence-Inoculumn-mGAM,0.2702702702702703,0.2515527950310559
A10-e003Coalescence-mGAM-p7,0.12162162162162163,0.06728778467908902
D9-e003Coalescence-mBHI-p5,0.6351351351351351,0.7743271221532091
C4-e003Coalescence-Inoculumn-mGAM,0.0,0.10662525879917184
D4-e003Coalescence-mGAM-p3,0.0,0.002070393374741201
B9-e003Coalescence-mBHI-p7,0.7297297297297297,0.7639751552795031
C3-e003Coalescence-mGAM-p7,0.4864864864864865,0.4389233954451346
D9-e003Coalescence-mBHI-p7,0.6756756756756757,0.7080745341614907
D3-e004Assembly-mGAM-p5,0.1891891891891892,0.2536231884057971
C5-e003Coalescence-mBHI-p7,0.05405405405405406,0.06935817805383022
C11-e003Coalescence-mGAM-p7,0.0,0.010351966873706004
D10-e003Coalescence-mBHI-p7,0.05405405405405406,0.10559006211180125
C9-e003Coalescence-mBHI-p7,0.32432432432432434,0.3612836438923395
B8-e003Coalescence-mGAM-p5,0.40540540540540543,0.5331262939958592
C3-e004Assembly-mBHI-p3,0.04054054054054054,0.11801242236024845
B3-e003Coalescence-mBHI-p5,0.6756756756756757,0.6863354037267081
C2-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
C10-e003Coalescence-mGAM-p5,0.6216216216216216,0.7091097308488613
C10-e003Coalescence-mBHI-p5,0.0,0.0
B9-e003Coalescence-mBHI-p3,0.6081081081081081,0.5683229813664596
C3-e003Coalescence-mBHI-inoculumn-redo,0.0,0.0
e004-inoculumn-fecal-AR,0.16216216216216217,0.2153209109730849
B5-e003Coalescence-mGAM-p3,0.7972972972972973,0.8157349896480331
F3-e004Assembly-epsilon-p5,0.17567567567567569,0.18115942028985507
C9-e003Coalescence-mGAM-p5,0.5945945945945946,0.6428571428571429
C2-e003Coalescence-mGAM-p5,0.02702702702702703,0.056935817805383024
C8-e003Coalescence-mBHI-p5,0.0,0.0
B8-e003Coalescence-mGAM-p7,0.5675675675675675,0.567287784679089
B4-e003Coalescence-Inoculumn-mBHI,0.0,0.0
B8-e003Coalescence-mBHI-p7,0.36486486486486486,0.44616977225672877
B3-e004Assembly-mBHI-p3,0.0945945945945946,0.11180124223602485
D3-e003Coalescence-Inoculumn-mGAM,0.7972972972972973,0.8115942028985508
B11-e003Coalescence-mBHI-p3,0.6351351351351351,0.5662525879917184
C5-e003Coalescence-Inoculumn-mGAM,0.06756756756756757,0.028985507246376812
C4-e003Coalescence-mBHI-p5,0.0,0.0
G3-e004Assembly-epsilon-p5,0.1891891891891892,0.2494824016563147
BC-Fecal,0.581081081081081,0.5238095238095238
A4-e003Coalescence-Inoculumn-mGAM,0.02702702702702703,0.021739130434782608
B4-e003Coalescence-mBHI-p3,0.0,0.012422360248447204
A9-e003Coalescence-mGAM-p5,0.7297297297297297,0.7556935817805382
F3-e004Assembly-epsilon-p7,0.12162162162162163,0.16977225672877846
C10-e003Coalescence-mBHI-p3,0.0,0.0
G5-e003Coalescence-mBHI-p7_S124,0.02702702702702703,0.027950310559006212
H4-e003Coalescence-mGAM-p7_S183,0.0,0.018633540372670808
F5-e003Coalescence-mGAM-p5_S64,0.7567567567567568,0.8260869565217391
F5-e003Coalescence-mGAM-p7_S160,0.6351351351351351,0.6138716356107661
F8-e003Coalescence-mBHI-p3_S117,0.7837837837837838,0.8374741200828157
H3-e003Coalescence-mBHI-p3_S46,0.5405405405405406,0.5755693581780539
F100-e003Coalescence-mGAM-p7_S163,0.3783783783783784,0.5
F9-e003Coalescence-mBHI-p5_S18,0.7567567567567568,0.7494824016563147
G4-e003Coalescence-mBHI-p5_S27,0.0,0.0
G2-e003Coalescence-mBHI-p3_S33,0.0,0.0
E9-e003Coalescence-mBHI-p5_S6,0.6891891891891891,0.7101449275362319
G111-e003Coalescence-mGAM-p5_S80,0.0,0.007246376811594203
F111-e003Coalescence-mGAM-p5_S68,0.6351351351351351,0.6573498964803313
G111-e003Coalescence-mBHI-p5_S32,0.013513513513513514,0.014492753623188406
G5-e003Coalescence-mBHI-p3_S36,0.08108108108108109,0.07246376811594203
G8-e003Coalescence-mGAM-p3_S177,0.0,0.0
H3-e003Coalescence-mGAM-p3_S94,0.7297297297297297,0.7701863354037267
E100-e003Coalescence-mBHI-p7_S103,0.0,0.0
F9-e003Coalescence-mGAM-p5_S66,0.43243243243243246,0.4554865424430642
E3-e003Coalescence-mGAM-p5_S50,0.5,0.5755693581780539
E9-e003Coalescence-mBHI-p7_S102,0.7837837837837838,0.8219461697722568
F111-e003Coalescence-mGAM-p7_S164,0.33783783783783783,0.36853002070393376
H100-e003Coalescence-mBHI-p5_S43,0.013513513513513514,0.015527950310559006
F2-e003Coalescence-mGAM-p5_S61,0.4594594594594595,0.458592132505176
G9-e003Coalescence-mGAM-p5_S78,0.13513513513513514,0.1997929606625259
G8-e003Coalescence-mGAM-p5_S77,0.0,0.0010351966873706005
G3-e003Coalescence-mBHI-p3_S34,0.0,0.0
G100-e003Coalescence-mBHI-p5_S31,0.0,0.0
G3-e003Coalescence-mBHI-p5_S26,0.22972972972972974,0.2732919254658385
G5-e003Coalescence-mBHI-p5_S28,0.0,0.003105590062111801
G4-e003Coalescence-mBHI-p3_S35,0.0,0.0
H9-e003Coalescence-mGAM-p5_S90,0.6756756756756757,0.6739130434782609
E4-e003Coalescence-mBHI-p5_S3,0.0,0.0
E4-e003Coalescence-mGAM-p5_S51,0.0,0.005175983436853002
G9-e003Coalescence-mGAM-p7_S174,0.5405405405405406,0.48757763975155277
E8-e003Coalescence-mGAM-p3_S153,0.0,0.0
