,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,9154,20707
A5-e003Coalescence-mBHI-inoculumn-redo,11796,26267
A5-e003Coalescence-mBHI-p7,11754,25731
A5-e003Coalescence-mGAM-p3,11941,26401
D2-e003Coalescence-Inoculumn-mBHI,11191,24989
D2-e003Coalescence-mBHI-p3,11926,26333
D2-e003Coalescence-mBHI-p5,11180,24657
D2-e003Coalescence-mGAM-p5,12017,26577
E5-e003Coalescence-mBHI-p3_S12,10773,22883
E5-e003Coalescence-mBHI-p5_S4,11475,24910
E5-e003Coalescence-mBHI-p7_S100,11042,23959
E5-e003Coalescence-mGAM-p3_S60,11831,25855
E5-e003Coalescence-mGAM-p5_S52,11958,26281
E5-e003Coalescence-mGAM-p7_S148,12015,26558
H2-e003Coalescence-mBHI-p3_S45,11872,25948
H2-e003Coalescence-mBHI-p7_S133,11372,24616
H2-e003Coalescence-mGAM-p3_S93,11981,26370
H2-e003Coalescence-mGAM-p5_S85,8124,16344
H2-e003Coalescence-mGAM-p7_S181,12021,26563
