,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,9887,20707
A4-e003Coalescence-mBHI-p7,8667,18192
A4-e003Coalescence-mGAM-p5,9838,20551
C2-e003Coalescence-mBHI-inoculumn-redo,9857,20683
C2-e003Coalescence-mBHI-p3,5949,12147
C2-e003Coalescence-mGAM-p3,9682,20163
C2-e003Coalescence-mGAM-p5,9887,20687
C2-e003Coalescence-mGAM-p7,9889,20710
E4-e003Coalescence-mBHI-p3_S11,2751,5590
E4-e003Coalescence-mBHI-p7_S99,2563,6751
E4-e003Coalescence-mGAM-p3_S59,9764,20302
E4-e003Coalescence-mGAM-p5_S51,9882,20665
E4-e003Coalescence-mGAM-p7_S147,9889,20706
G2-e003Coalescence-mBHI-p3_S33,4067,8199
G2-e003Coalescence-mGAM-p3_S81,9821,20472
G2-e003Coalescence-mGAM-p5_S73,9878,20650
