,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,1417,1144
A4-e003Coalescence-mBHI-p1_S732,1919,1478
A4-e003Coalescence-mGAM-p1_S736,1901,1471
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,1646,1312
A_A3_A4_AE_AA_mBHI_mBHI_2_S3,1365,1068
A_C1_C2_AA_AE_mBHI_mBHI_2_S25,1937,1490
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,1937,1492
A_G1_C2_AA_AE_mBHI_mGAM_2_S73,1913,1471
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,1938,1496
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,1918,1478
C2-e003Coalescence-mBHI-inoculumn-redo,1732,1349
C2-e003Coalescence-mBHI-p3,1880,1451
C2-e003Coalescence-mGAM-p1_S722,1916,1478
C_A11_E4_AE_AA_mBHI_mBHI_4_S203,1831,1422
C_C9_G2_AA_AE_mBHI_mBHI_4_S225,1825,1400
C_E11_E4_AE_AA_mBHI_mGAM_4_S251,1490,1120
G2-e003Coalescence-mBHI-p1_S782,1756,1358
G2-e003Coalescence-mGAM-p1_S786,1474,1141
