,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A_C8_C11_AF_AE_mGAM_mBHI_2_S32,3249,23163
A_G8_C11_AF_AE_mGAM_mGAM_2_S80,3207,22895
B_C12_C11_AF_AE_mGAM_mBHI_4_S132,3238,23144
B_C8_G11_AF_AE_mGAM_mBHI_2_S128,2420,17779
B_D11_D10_AE_AF_mGAM_mBHI_4_S143,3233,23102
B_D7_H10_AE_AF_mGAM_mBHI_2_S139,3250,23165
B_G12_C11_AF_AE_mGAM_mGAM_4_S180,3189,21937
B_G8_G11_AF_AE_mGAM_mGAM_2_S176,3214,22856
B_H11_D10_AE_AF_mGAM_mGAM_4_S191,3070,21128
B_H7_H10_AE_AF_mGAM_mGAM_2_S187,3203,22800
C11-e003Coalescence-mBHI-p1_S774,2987,22017
C11-e003Coalescence-mBHI-p3,3193,22851
C11-e003Coalescence-mBHI-p5,3234,23111
C11-e003Coalescence-mGAM-p1_S778,3041,21662
C11-e003Coalescence-mGAM-p3,3248,23148
C11-e003Coalescence-mGAM-p5,3250,23099
C11-e003Coalescence-mGAM-p7,3233,23127
C5-e003Coalescence-Inoculumn-mGAM,3241,23119
C_C8_C11_AF_AE_mGAM_mBHI_6_S224,3214,23120
C_D7_D10_AE_AF_mGAM_mBHI_6_S235,3236,23140
C_G8_C11_AF_AE_mGAM_mGAM_6_S272,3175,22577
C_H7_D10_AE_AF_mGAM_mGAM_6_S283,3210,22694
Coalescence-A10-C11-AE-AF-mGAM-mBHI-7_S629,3120,23043
Coalescence-F8-H10-AE-AF-mGAM-mGAM-3_S687,2092,13948
D10-e003Coalescence-mBHI-p3,3243,23122
D10-e003Coalescence-mBHI-p5,3080,22210
D10-e003Coalescence-mBHI-p7,3197,22939
D10-e003Coalescence-mGAM-p1_S771,3246,23161
D10-e003Coalescence-mGAM-p3,3246,23116
D10-e003Coalescence-mGAM-p5,3247,23129
D10-e003Coalescence-mGAM-p7,3246,23127
D4-e003Coalescence-Inoculumn-mGAM,2963,21783
D_C12_G11_AF_AE_mGAM_mBHI_4_S324,3244,23158
D_C8_C11_AF_AE_mGAM_mBHI_6_S320,3124,22833
D_D11_H10_AE_AF_mGAM_mBHI_4_S335,3246,23154
D_D6_D9_ACPP_AF_mGAM_mBHI_6_S330,3241,23122
D_D7_D10_AE_AF_mGAM_mBHI_6_S331,3245,23152
D_G12_G11_AF_AE_mGAM_mGAM_4_S372,3218,22877
D_G8_C11_AF_AE_mGAM_mGAM_6_S368,3239,22921
D_H11_H10_AE_AF_mGAM_mGAM_4_S383,3166,21971
D_H7_D10_AE_AF_mGAM_mGAM_6_S379,3095,21418
G11-e003Coalescence-mBHI-p1_S838,3190,22934
G11-e003Coalescence-mGAM-p1_S842,3239,23124
G111-e003Coalescence-mBHI-p5_S32,3191,23028
G111-e003Coalescence-mBHI-p7_S128,2792,21451
G111-e003Coalescence-mGAM-p3_S180,3217,22834
G111-e003Coalescence-mGAM-p5_S80,3227,22465
G111-e003Coalescence-mGAM-p7_S176,2440,14730
H10-e003Coalescence-mBHI-p1_S831,3233,23120
H10-e003Coalescence-mGAM-p1_S835,3247,23139
H100-e003Coalescence-mBHI-p5_S43,3219,23079
H100-e003Coalescence-mBHI-p7_S139,3237,23100
H100-e003Coalescence-mGAM-p5_S91,3169,22496
H100-e003Coalescence-mGAM-p7_S187,3170,21993
