,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A_C12_C5_AF_AE_mBHI_mBHI_4_S36,2689,18319
A_C4_C5_AF_AE_mBHI_mBHI_2_S28,2682,18301
A_D11_D4_AE_AF_mBHI_mBHI_4_S47,2677,18245
A_D3_D4_AE_AF_mBHI_mBHI_2_S39,2671,18264
A_G4_C5_AF_AE_mBHI_mGAM_2_S76,2667,18203
A_H11_D4_AE_AF_mBHI_mGAM_4_S95,2471,17743
A_H3_D4_AE_AF_mBHI_mGAM_2_S87,2669,18234
B_C4_G5_AF_AE_mBHI_mBHI_2_S124,2586,17664
B_D3_H4_AE_AF_mBHI_mBHI_2_S135,2610,17835
B_G4_G5_AF_AE_mBHI_mGAM_2_S172,2678,17892
B_H3_H4_AE_AF_mBHI_mGAM_2_S183,2665,17756
C5-e003Coalescence-mBHI-inoculumn-redo,2692,18327
C5-e003Coalescence-mBHI-p1_S742,2624,17963
C5-e003Coalescence-mBHI-p3,2250,14978
C5-e003Coalescence-mBHI-p5,2670,18238
C5-e003Coalescence-mBHI-p7,2687,18293
C5-e003Coalescence-mGAM-p1_S746,2662,18211
C5-e003Coalescence-mGAM-p3,2690,18294
C5-e003Coalescence-mGAM-p7,2684,18178
C_C12_G5_AF_AE_mBHI_mBHI_4_S228,2640,17830
C_C4_C5_AF_AE_mBHI_mBHI_6_S220,2686,18309
C_D11_H4_AE_AF_mBHI_mBHI_4_S239,2688,18308
C_D3_D4_AE_AF_mBHI_mBHI_6_S231,2688,18258
C_G12_G5_AF_AE_mBHI_mGAM_4_S276,2670,17731
C_G4_C5_AF_AE_mBHI_mGAM_6_S268,2682,17971
C_H11_H4_AE_AF_mBHI_mGAM_4_S287,2660,17732
C_H3_D4_AE_AF_mBHI_mGAM_6_S279,2659,17590
Coalescence-D2-C5-AE-AF-mBHI-mGAM-5_S657,2666,17597
D4-e003Coalescence-Inoculumn-mBHI,2688,18328
D4-e003Coalescence-mBHI-p1_S735,2689,18298
D4-e003Coalescence-mBHI-p3,2632,18015
D4-e003Coalescence-mBHI-p5,2601,17805
D4-e003Coalescence-mBHI-p7,2684,18245
D4-e003Coalescence-mGAM-p1_S739,2683,18255
D4-e003Coalescence-mGAM-p3,2689,18287
D4-e003Coalescence-mGAM-p5,2685,18178
D4-e003Coalescence-mGAM-p7,2664,17847
D_C4_C5_AF_AE_mBHI_mBHI_6_S316,2613,17775
D_D3_D4_AE_AF_mBHI_mBHI_6_S327,2672,18050
D_G4_C5_AF_AE_mBHI_mGAM_6_S364,2650,17397
D_H3_D4_AE_AF_mBHI_mGAM_6_S375,2675,17792
G5-e003Coalescence-mBHI-p1_S806,2621,17975
G5-e003Coalescence-mBHI-p3_S36,2617,17989
G5-e003Coalescence-mBHI-p5_S28,2685,18307
G5-e003Coalescence-mBHI-p7_S124,2659,18226
G5-e003Coalescence-mGAM-p1_S810,2683,18257
G5-e003Coalescence-mGAM-p3_S84,2680,18225
G5-e003Coalescence-mGAM-p5_S76,2684,18164
G5-e003Coalescence-mGAM-p7_S172,2674,17738
H4-e003Coalescence-mBHI-p1_S799,2683,18267
H4-e003Coalescence-mBHI-p3_S47,2684,18248
H4-e003Coalescence-mBHI-p5_S39,2675,18158
H4-e003Coalescence-mBHI-p7_S135,2651,17978
H4-e003Coalescence-mGAM-p1_S803,2685,18265
H4-e003Coalescence-mGAM-p3_S95,2675,17915
H4-e003Coalescence-mGAM-p5_S87,2660,17545
H4-e003Coalescence-mGAM-p7_S183,2677,17802
