,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,1180,1005
A4-e003Coalescence-mBHI-p1_S732,1153,945
A4-e003Coalescence-mBHI-p5,1125,938
A4-e003Coalescence-mBHI-p7,1017,820
A4-e003Coalescence-mGAM-p1_S736,1179,995
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,1174,985
A_C1_C2_AA_AE_mBHI_mBHI_2_S25,1178,994
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,1176,1000
A_E11_A4_AE_AA_mBHI_mGAM_4_S59,1182,988
A_E3_A4_AE_AA_mBHI_mGAM_2_S51,1181,990
A_G1_C2_AA_AE_mBHI_mGAM_2_S73,1182,1006
A_G9_C2_AA_AE_mBHI_mGAM_4_S81,1181,1003
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,1163,976
B_E3_E4_AE_AA_mBHI_mGAM_2_S147,1180,995
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,1182,1006
C2-e003Coalescence-mBHI-inoculumn-redo,1179,1002
C2-e003Coalescence-mBHI-p3,1148,959
C2-e003Coalescence-mGAM-p1_S722,1180,999
C2-e003Coalescence-mGAM-p3,1166,971
C2-e003Coalescence-mGAM-p5,1178,996
C2-e003Coalescence-mGAM-p7,1174,991
C_A11_E4_AE_AA_mBHI_mBHI_4_S203,1159,969
C_A3_A4_AE_AA_mBHI_mBHI_6_S195,619,439
C_C9_G2_AA_AE_mBHI_mBHI_4_S225,742,571
C_E11_E4_AE_AA_mBHI_mGAM_4_S251,1179,981
C_E3_A4_AE_AA_mBHI_mGAM_6_S243,1138,964
C_G1_C2_AA_AE_mBHI_mGAM_6_S265,1146,949
C_G9_G2_AA_AE_mBHI_mGAM_4_S273,1045,825
Coalescence-C6-A4-AA-AE-mBHI-mGAM-5_S649,1180,998
Coalescence-D8-A4-AA-AE-mBHI-mGAM-3_S663,1180,994
D_A3_A4_AE_AA_mBHI_mBHI_6_S291,1147,959
D_E3_A4_AE_AA_mBHI_mGAM_6_S339,1151,979
D_G1_C2_AA_AE_mBHI_mGAM_6_S361,1182,1000
E4-e003Coalescence-mBHI-p5_S3,1164,963
E4-e003Coalescence-mBHI-p7_S99,1166,957
E4-e003Coalescence-mGAM-p1_S800,1160,979
E4-e003Coalescence-mGAM-p3_S59,1179,992
E4-e003Coalescence-mGAM-p5_S51,1179,976
E4-e003Coalescence-mGAM-p7_S147,1171,976
G2-e003Coalescence-mBHI-p1_S782,960,756
G2-e003Coalescence-mBHI-p5_S25,741,541
G2-e003Coalescence-mGAM-p1_S786,1172,996
G2-e003Coalescence-mGAM-p3_S81,1147,966
G2-e003Coalescence-mGAM-p5_S73,1179,989
