,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,2225,2219
A5-e003Coalescence-mBHI-inoculumn-redo,2507,2516
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,1699,1699
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,2371,2359
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,2262,2289
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,2059,2077
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,1676,1744
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,2098,2061
Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,2306,2295
D2-e003Coalescence-Inoculumn-mBHI,1883,1957
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,2511,2524
E5-e003Coalescence-mBHI-p7_S100,2304,2326
H2-e003Coalescence-mGAM-p7_S181,1719,1741
