,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
D11-e003Coalescence-mBHI-p5,4524,2487
F3-e004Assembly-epsilon-p3,11441,6537
e004-inoculumn-fecal-BD,4723,2699
D3-e003Coalescence-Inoculumn-mBHI,4757,2873
D11-e003Coalescence-mGAM-p5,12168,6929
A11-e003Coalescence-mGAM-p7,12168,6928
B11-e003Coalescence-mGAM-p3,12169,6929
D8-e003Coalescence-mGAM-p5,12169,6929
A12-e003Coalescence-mGAM-p3,12168,6929
D9-e003Coalescence-mGAM-p7,12169,6929
B5-e003Coalescence-Inoculumn-mGAM,12167,6926
D9-e003Coalescence-mGAM-p5,12169,6929
D10-e003Coalescence-mGAM-p5,12169,6929
B11-e003Assembly-mGAM-p5,12162,6925
G3-e004Assembly-epsilon-p7,11547,6544
C3-e004Assembly-mBHI-p7,11828,6737
G3-e004Assembly-epsilon-p3,11621,6606
D8-e003Coalescence-mBHI-p5,11242,6297
D5-e003Coalescence-Inoculumn-mGAM,12169,6929
BF-Fecal,11772,6767
AM-Fecal,11936,6787
B12-e003Coalescence-mGAM-p3,12168,6929
D5-e003Coalescence-Inoculumn-mBHI,12169,6929
C11-e003Coalescence-mGAM-p5,12169,6929
D9-e003Coalescence-mGAM-p3,12169,6929
D3-e003Coalescence-mGAM-p5,3302,2042
B11-e003Assembly-mGAM-p3,11683,6599
B11-e003Coalescence-mGAM-p7,12167,6929
D4-e003Coalescence-Inoculumn-mBHI,4645,2847
D10-e003Coalescence-mGAM-p7,12166,6926
C12-e003Coalescence-mGAM-p3,12167,6929
C11-e003Coalescence-mGAM-p3,12169,6929
D10-e003Coalescence-mGAM-p3,12168,6929
D11-e003Coalescence-mGAM-p7,12169,6928
B11-e003GlycerolRevival-mGAM-p2,12163,6921
C11-e003Coalescence-mGAM-p7,12167,6925
A5-e003Coalescence-Inoculumn-mGAM,12168,6923
D4-e003Coalescence-Inoculumn-mGAM,12030,6828
e004-inoculumn-fecal-AR,12056,6849
F3-e004Assembly-epsilon-p5,9653,5459
D2-e003Coalescence-Inoculumn-mGAM,12163,6923
D3-e003Coalescence-Inoculumn-mGAM,12168,6929
C5-e003Coalescence-Inoculumn-mGAM,12167,6928
G3-e004Assembly-epsilon-p5,11217,6321
BC-Fecal,11384,6450
e003-inoculumn-fecal-AF,11429,6617
A11-e003Coalescence-mBHI-p3,11952,6774
F3-e004Assembly-epsilon-p7,11917,6755
A11-e003Coalescence-mGAM-p3,12168,6929
H111-e003Coalescence-mGAM-p7_S188,12169,6929
F5-e003Coalescence-mGAM-p5_S64,4131,2598
E111-e003Coalescence-mGAM-p7_S152,8336,4658
H111-e003Coalescence-mBHI-p3_S144,12159,6923
G111-e003Coalescence-mGAM-p5_S80,12168,6927
F111-e003Coalescence-mGAM-p5_S68,12162,6921
H9-e003Coalescence-mGAM-p3_S190,12153,6920
G111-e003Coalescence-mGAM-p7_S176,10467,5970
H100-e003Coalescence-mGAM-p7_S187,12162,6919
F5-e003Coalescence-mGAM-p3_S72,3861,2258
F111-e003Coalescence-mGAM-p7_S164,12168,6919
E111-e003Coalescence-mBHI-p5_S8,9205,5108
E111-e003Coalescence-mBHI-p3_S108,3945,2150
H111-e003Coalescence-mGAM-p5_S92,12169,6928
H9-e003Coalescence-mGAM-p5_S90,12165,6924
H2-e003Coalescence-mGAM-p3_S93,3101,1864
G111-e003Coalescence-mGAM-p3_S180,12168,6927
H8-e003Coalescence-mBHI-p5_S41,4001,2240
H9-e003Coalescence-mGAM-p7_S186,12169,6927
H8-e003Coalescence-mGAM-p5_S89,12168,6926
F111-e003Coalescence-mGAM-p3_S168,12163,6924
H111-e003Coalescence-mBHI-p5_S44,4602,2425
E111-e003Coalescence-mBHI-p7_S104,12135,6889
E111-e003Coalescence-mGAM-p5_S56,12167,6925
H100-e003Coalescence-mGAM-p5_S91,12167,6925
H111-e003Coalescence-mGAM-p3_S192,12168,6929
H8-e003Coalescence-mGAM-p7_S185,12168,6928
