,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,9572,16021
A4-e003Coalescence-mBHI-p3,4649,7307
A4-e003Coalescence-mBHI-p5,9506,15918
A4-e003Coalescence-mBHI-p7,9302,15556
A4-e003Coalescence-mGAM-p5,9525,15977
C2-e003Coalescence-mBHI-inoculumn-redo,9569,15983
C2-e003Coalescence-mBHI-p3,8997,14183
C2-e003Coalescence-mBHI-p5,6111,10224
C2-e003Coalescence-mGAM-p3,9567,16000
C2-e003Coalescence-mGAM-p5,9570,15984
C2-e003Coalescence-mGAM-p7,9567,15976
E4-e003Coalescence-mBHI-p5_S3,9554,15990
E4-e003Coalescence-mBHI-p7_S99,9551,15991
E4-e003Coalescence-mGAM-p3_S59,9566,15954
E4-e003Coalescence-mGAM-p5_S51,9546,15683
E4-e003Coalescence-mGAM-p7_S147,9570,15954
G2-e003Coalescence-mBHI-p3_S33,6379,10185
G2-e003Coalescence-mBHI-p5_S25,9140,15343
G2-e003Coalescence-mBHI-p7_S121,3067,5614
G2-e003Coalescence-mGAM-p3_S81,9570,16025
G2-e003Coalescence-mGAM-p5_S73,9548,15697
