,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,7423,3023
A5-e003Coalescence-mBHI-inoculumn-redo,7500,3083
A5-e003Coalescence-mBHI-p3,4383,1656
A5-e003Coalescence-mBHI-p7,7425,3006
A5-e003Coalescence-mGAM-p3,7458,3065
D2-e003Coalescence-Inoculumn-mBHI,7501,3077
D2-e003Coalescence-mBHI-p3,7486,3051
D2-e003Coalescence-mBHI-p5,7287,2947
D2-e003Coalescence-mGAM-p5,7506,3091
E5-e003Coalescence-mBHI-p3_S12,7463,2997
E5-e003Coalescence-mBHI-p5_S4,7374,2982
E5-e003Coalescence-mBHI-p7_S100,7462,3031
E5-e003Coalescence-mGAM-p3_S60,7423,3043
E5-e003Coalescence-mGAM-p5_S52,7483,3078
E5-e003Coalescence-mGAM-p7_S148,7501,3084
H2-e003Coalescence-mBHI-p3_S45,7477,3049
H2-e003Coalescence-mBHI-p7_S133,7392,2989
H2-e003Coalescence-mGAM-p3_S93,7475,3087
H2-e003Coalescence-mGAM-p5_S85,7317,2934
H2-e003Coalescence-mGAM-p7_S181,7504,3082
