,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mGAM-p7,10984,12990
B2-e003Coalescence-Inoculumn-mBHI,9312,10847
B2-e003Coalescence-mBHI-p3,4580,5921
B2-e003Coalescence-mGAM-p3,11008,13030
E3-e003Coalescence-mBHI-p3_S10,2788,3362
E3-e003Coalescence-mBHI-p5_S2,5359,7251
E3-e003Coalescence-mGAM-p3_S58,11012,12980
E3-e003Coalescence-mGAM-p5_S50,11036,13057
E3-e003Coalescence-mGAM-p7_S146,10879,12736
F2-e003Coalescence-mBHI-p5_S13,10659,12855
F2-e003Coalescence-mGAM-p3_S69,11009,12977
F2-e003Coalescence-mGAM-p5_S61,11036,13072
F2-e003Coalescence-mGAM-p7_S157,11034,13047
