,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,512,521
A9-e003Coalescence-mBHI-p1_S756,1102,1130
A9-e003Coalescence-mBHI-p3,1083,1118
A9-e003Coalescence-mBHI-p7,1089,1115
A9-e003Coalescence-mGAM-p1_S760,1054,1096
A9-e003Coalescence-mGAM-p5,801,852
B2-e003Coalescence-Inoculumn-mGAM,959,962
B8-e003Coalescence-mBHI-p1_S749,1088,1124
B8-e003Coalescence-mGAM-p1_S753,808,826
B8-e003Coalescence-mGAM-p5,859,858
B8-e003Coalescence-mGAM-p7,749,722
B_A10_A9_ACPP_AA_mGAM_mBHI_4_S106,969,993
B_A6_E9_ACPP_AA_mGAM_mBHI_2_S102,614,620
B_E10_A9_ACPP_AA_mGAM_mGAM_4_S154,1033,1058
B_E6_E9_ACPP_AA_mGAM_mGAM_2_S150,1098,1122
Coalescence-D10-A9-AA-ACPP-mGAM-mGAM-3_S665,994,1019
Coalescence-E1-B8-AA-ACPP-mGAM-mBHI-3_S668,1099,1124
E9-e003Coalescence-mBHI-p1_S820,1102,1130
E9-e003Coalescence-mBHI-p5_S6,635,638
E9-e003Coalescence-mGAM-p1_S824,819,849
E9-e003Coalescence-mGAM-p3_S154,699,740
F8-e003Coalescence-mBHI-p1_S813,1092,1123
F8-e003Coalescence-mGAM-p1_S817,735,739
F8-e003Coalescence-mGAM-p7_S161,505,563
