,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,0.928,0.487
B5-e003Coalescence-mBHI-p3,0.787,0.86
B5-e003Coalescence-mBHI-p5,0.758,0.784
B5-e003Coalescence-mBHI-p7,0.793,0.635
B5-e003Coalescence-mGAM-p3,1.0,1.0
B5-e003Coalescence-mGAM-p5,1.0,1.0
B5-e003Coalescence-mGAM-p7,0.812,1.0
D3-e003Coalescence-Inoculumn-mBHI,0.924,0.491
D3-e003Coalescence-mBHI-p5,0.821,0.7170000000000001
D3-e003Coalescence-mBHI-p7,0.767,0.615
D3-e003Coalescence-mGAM-p3,1.0,0.914
D3-e003Coalescence-mGAM-p5,0.983,0.97
