,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,0.448,0.61
A4-e003Coalescence-mBHI-p3,0.189,0.869
A4-e003Coalescence-mBHI-p5,0.315,0.774
A4-e003Coalescence-mBHI-p7,0.429,0.679
A4-e003Coalescence-mGAM-p5,0.0,0.011
C2-e003Coalescence-mBHI-inoculumn-redo,0.413,0.639
C2-e003Coalescence-mBHI-p3,0.122,0.908
C2-e003Coalescence-mBHI-p5,0.177,0.871
C2-e003Coalescence-mBHI-p7,0.267,0.8
C2-e003Coalescence-mGAM-p3,0.069,1.0
C2-e003Coalescence-mGAM-p5,0.072,1.0
C2-e003Coalescence-mGAM-p7,0.05,0.974
