,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A_C10_C3_ACPP_AE_mBHI_mBHI_4_S34,275,723
B4-e003Coalescence-Inoculumn-mBHI,527,1302
B4-e003Coalescence-mBHI-p1_S733,292,696
C3-e003Coalescence-mBHI-inoculumn-redo,527,1301
C3-e003Coalescence-mBHI-p1_S726,320,753
C3-e003Coalescence-mBHI-p7,395,986
C3-e003Coalescence-mGAM-p7,433,1034
Coalescence-E4-C3-ACPP-AE-mBHI-mBHI-3_S671,511,1267
G3-e003Coalescence-mBHI-p1_S790,319,757
G3-e003Coalescence-mBHI-p3_S34,493,1242
G3-e003Coalescence-mBHI-p5_S26,527,1292
G3-e003Coalescence-mBHI-p7_S122,524,1300
