,est,input,est_meds,est_01,reads_vals1,reads_vals0,depth_thetas,trials,sample_infer_full,genome,sample_input,sample_infer,sample_input_full1,sample_input_full2,theta_depth_input
0,0.0,0.0,0.0,0.0,0.0,38.0,0.4444444444444444,0,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_0_abundances_trial_000,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_11_theta_1_abundances_trial_000,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_1_abundances_trial_000,0.5555555555555556
1,0.0,0.0,0.0,0.0,0.0,41.0,0.4444444444444444,1,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_0_abundances_trial_001,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_11_theta_1_abundances_trial_000,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_1_abundances_trial_000,0.5555555555555556
2,0.0,0.0,0.0,0.0,0.0,92.0,0.5555555555555556,0,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_1_abundances_trial_000,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_11_theta_1_abundances_trial_000,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_1_abundances_trial_000,0.5555555555555556
3,0.0,0.0,0.0,0.0,0.0,54.0,0.5555555555555556,1,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_1_abundances_trial_001,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_11_theta_1_abundances_trial_000,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_1_abundances_trial_000,0.5555555555555556
4,0.0,0.0,0.0,0.0,0.0,63.0,0.6666666666666666,0,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_2_abundances_trial_000,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_11_theta_1_abundances_trial_000,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_1_abundances_trial_000,0.5555555555555556
5,0.0,0.0,0.0,0.0,0.0,76.0,0.6666666666666666,1,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_2_abundances_trial_001,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_11_theta_1_abundances_trial_000,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_1_abundances_trial_000,0.5555555555555556
6,0.0,0.0,0.0,0.0,0.0,79.0,1.0,0,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_3_abundances_trial_000,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_11_theta_1_abundances_trial_000,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_1_abundances_trial_000,0.5555555555555556
7,0.0,0.0,0.0,0.0,0.0,83.0,1.0,1,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_3_abundances_trial_001,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_11_theta_1_abundances_trial_000,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_1_abundances_trial_000,0.5555555555555556
8,0.0,0.0,0.0,0.0,0.0,91.0,1.1111111111111112,0,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_4_abundances_trial_000,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_11_theta_1_abundances_trial_000,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_1_abundances_trial_000,0.5555555555555556
9,0.0,0.0,0.0,0.0,0.0,89.0,1.1111111111111112,1,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_4_abundances_trial_001,GUT_GENOME001637,A10-e003Coalescence-mBHI-p7,G8-e003Coalescence-mBHI-p7_S125,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_11_theta_1_abundances_trial_000,GUT_GENOME001637_A10-e003Coalescence-mBHI-p7_annotated_abundance_GUT_GENOME001637_strain_0_theta_1_abundances_trial_000,0.5555555555555556
