,sample,boot_med,boot_low,boot_high,actual_med,shifts_low,shifts_high,shifts_med
0,A4-e003Coalescence-mBHI-inoculumn-redo,0.5234215885947047,0.5219164118246687,0.5245398773006135,0.5239551478083588,0.017000000000000015,0.02100000000000002,0.019000000000000017
1,A4-e003Coalescence-mBHI-p7,0.05493650982415635,0.05232423500034566,0.057485126631833486,0.054929620835013605,0.0063428061401647915,0.017969270530472377,0.012686177985710312
2,A4-e003Coalescence-mGAM-p1_S736,0.03323262839879154,0.03225806451612903,0.03420523138832998,0.03323262839879154,0.006000000000000005,0.009000000000000008,0.007000000000000006
3,A_A11_A4_AE_AA_mBHI_mBHI_4_S11,0.11466942148760331,0.11466942148760331,0.12729124236252545,0.11466942148760331,0.018000000000000016,0.03200000000000003,0.03200000000000003
4,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,0.18358974358974356,0.18237009208662214,0.18590398365679267,0.1834016393442623,0.02200000000000002,0.026000000000000023,0.02400000000000002
5,A_C9_C2_AA_AE_mBHI_mBHI_4_S33,0.009279493424523676,0.008788540777805913,0.009758309756376916,0.009267546459394885,0.03587994897284308,0.04110357389821135,0.039060555592684953
6,A_E11_A4_AE_AA_mBHI_mGAM_4_S59,0.001,0.001,0.001,0.00027248492795116505,0.0,0.0,0.0
7,A_E3_A4_AE_AA_mBHI_mGAM_2_S51,0.001,0.001,0.0010000238006092003,0.0004189678809703495,0.0,2.380004274138702e-05,0.0
8,A_G1_C2_AA_AE_mBHI_mGAM_2_S73,0.001,0.001,0.001,0.0002618480853654737,0.0,0.0,0.0
9,A_G9_C2_AA_AE_mBHI_mGAM_4_S81,0.001,0.001,0.001,0.0002572394503237672,0.0,0.0,0.0
10,B_C1_G2_AA_AE_mBHI_mBHI_2_S121,0.15843621399176952,0.1574642126789366,0.16188524590163933,0.15843621399176952,0.02199999999999991,0.027999999999999914,0.027999999999999914
11,B_E3_E4_AE_AA_mBHI_mGAM_2_S147,0.001,0.001,0.001,0.0003319817918147531,0.0,0.0,0.0
12,B_G1_G2_AA_AE_mBHI_mGAM_2_S169,0.001,0.001,0.001,0.00019256576525923154,0.0,0.0,0.0
