,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,10889,24632
A4-e003Coalescence-mBHI-p7,9511,21352
A4-e003Coalescence-mGAM-p1_S736,10832,24364
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,7964,17637
A_C1_C2_AA_AE_mBHI_mBHI_2_S25,10894,24619
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,10837,24374
A_E11_A4_AE_AA_mBHI_mGAM_4_S59,10880,24533
A_E3_A4_AE_AA_mBHI_mGAM_2_S51,10897,24579
A_G1_C2_AA_AE_mBHI_mGAM_2_S73,10899,24648
A_G9_C2_AA_AE_mBHI_mGAM_4_S81,10899,24620
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,10705,24116
B_E3_E4_AE_AA_mBHI_mGAM_2_S147,10892,24619
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,10900,24642
C2-e003Coalescence-mBHI-inoculumn-redo,10842,24594
C2-e003Coalescence-mBHI-p3,6062,13159
C2-e003Coalescence-mGAM-p1_S722,10807,24220
C2-e003Coalescence-mGAM-p3,10526,23623
C2-e003Coalescence-mGAM-p5,10879,24569
C2-e003Coalescence-mGAM-p7,10898,24643
C_A11_E4_AE_AA_mBHI_mBHI_4_S203,10831,24223
C_E11_E4_AE_AA_mBHI_mGAM_4_S251,10885,24581
C_E3_A4_AE_AA_mBHI_mGAM_6_S243,10879,24537
C_G1_C2_AA_AE_mBHI_mGAM_6_S265,9671,21206
C_G9_G2_AA_AE_mBHI_mGAM_4_S273,10491,23147
Coalescence-C6-A4-AA-AE-mBHI-mGAM-5_S649,10899,24637
Coalescence-D8-A4-AA-AE-mBHI-mGAM-3_S663,10894,24601
D_E3_A4_AE_AA_mBHI_mGAM_6_S339,10887,24573
D_G1_C2_AA_AE_mBHI_mGAM_6_S361,10865,24603
E4-e003Coalescence-mGAM-p3_S59,10655,23711
E4-e003Coalescence-mGAM-p5_S51,10882,24475
E4-e003Coalescence-mGAM-p7_S147,10897,24606
G2-e003Coalescence-mGAM-p1_S786,10189,22699
G2-e003Coalescence-mGAM-p3_S81,10768,24078
G2-e003Coalescence-mGAM-p5_S73,10860,24364
