,0
A_A1_A2_AA_AA_mBHI_mBHI_2_S1,10.0
A_A2_A3_ACPP_AA_mBHI_mBHI_2_S2,4.0
A_A3_A4_AE_AA_mBHI_mBHI_2_S3,3.0
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,11.0
A_A5_A8_AA_AA_mGAM_mBHI_2_S5,17.0
A_A8_A11_AF_AA_mGAM_mBHI_2_S8,45.0
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,6.0
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,47.0
A_C1_C2_AA_AE_mBHI_mBHI_2_S25,56.0
A_C2_C3_ACPP_AE_mBHI_mBHI_2_S26,3.0
A_C3_C4_AE_AE_mBHI_mBHI_2_S27,18.0
A_C4_C5_AF_AE_mBHI_mBHI_2_S28,17.0
A_C5_C8_AA_AE_mGAM_mBHI_2_S29,14.0
A_C8_C11_AF_AE_mGAM_mBHI_2_S32,95.0
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,27.0
A_C10_C3_ACPP_AE_mBHI_mBHI_4_S34,15.0
A_C11_C4_AE_AE_mBHI_mBHI_4_S35,66.0
A_C12_C5_AF_AE_mBHI_mBHI_4_S36,27.0
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,64.0
A_D2_D3_ACPP_AF_mBHI_mBHI_2_S38,2.0
A_D3_D4_AE_AF_mBHI_mBHI_2_S39,6.0
A_D4_D5_AF_AF_mBHI_mBHI_2_S40,18.0
A_D5_D8_AA_AF_mGAM_mBHI_2_S41,76.0
A_D8_D11_AF_AF_mGAM_mBHI_2_S44,120.0
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,31.0
A_D11_D4_AE_AF_mBHI_mBHI_4_S47,8.0
A_D12_D5_AF_AF_mBHI_mBHI_4_S48,17.0
A_E1_A2_AA_AA_mBHI_mGAM_2_S49,144.0
A_E2_A3_ACPP_AA_mBHI_mGAM_2_S50,23.0
A_E3_A4_AE_AA_mBHI_mGAM_2_S51,161.0
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,62.0
A_E5_A8_AA_AA_mGAM_mGAM_2_S53,106.0
A_E8_A11_AF_AA_mGAM_mGAM_2_S56,44.0
A_E9_A2_AA_AA_mBHI_mGAM_4_S57,113.0
A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,75.0
A_E11_A4_AE_AA_mBHI_mGAM_4_S59,214.0
A_E12_A5_AF_AA_mBHI_mGAM_4_S60,108.0
A_F11_B4_AE_ACPP_mBHI_mGAM_4_S71,3.0
A_G1_C2_AA_AE_mBHI_mGAM_2_S73,756.0
A_G2_C3_ACPP_AE_mBHI_mGAM_2_S74,100.0
A_G3_C4_AE_AE_mBHI_mGAM_2_S75,838.0
A_G4_C5_AF_AE_mBHI_mGAM_2_S76,75.0
A_G5_C8_AA_AE_mGAM_mGAM_2_S77,786.0
A_G8_C11_AF_AE_mGAM_mGAM_2_S80,106.0
A_G9_C2_AA_AE_mBHI_mGAM_4_S81,231.0
A_G10_C3_ACPP_AE_mBHI_mGAM_4_S82,334.0
A_G11_C4_AE_AE_mBHI_mGAM_4_S83,5.0
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,65.0
A_H2_D3_ACPP_AF_mBHI_mGAM_2_S86,2.0
A_H3_D4_AE_AF_mBHI_mGAM_2_S87,131.0
A_H4_D5_AF_AF_mBHI_mGAM_2_S88,113.0
A_H5_D8_AA_AF_mGAM_mGAM_2_S89,32.0
A_H8_D11_AF_AF_mGAM_mGAM_2_S92,111.0
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,185.0
A_H10_D3_ACPP_AF_mBHI_mGAM_4_S94,59.0
A_H11_D4_AE_AF_mBHI_mGAM_4_S95,81.0
A_H12_D5_AF_AF_mBHI_mGAM_4_S96,25.0
B_A2_E3_ACPP_AA_mBHI_mBHI_2_S98,13.0
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,14.0
B_A5_E8_AA_AA_mGAM_mBHI_2_S101,15.0
B_A6_E9_ACPP_AA_mGAM_mBHI_2_S102,3.0
B_A7_E10_AE_AA_mGAM_mBHI_2_S103,21.0
B_A8_E11_AF_AA_mGAM_mBHI_2_S104,6.0
B_A9_A8_AA_AA_mGAM_mBHI_4_S105,18.0
B_A10_A9_ACPP_AA_mGAM_mBHI_4_S106,21.0
B_A11_A10_AE_AA_mGAM_mBHI_4_S107,24.0
B_A12_A11_AF_AA_mGAM_mBHI_4_S108,67.0
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,12.0
B_C3_G4_AE_AE_mBHI_mBHI_2_S123,3.0
B_C4_G5_AF_AE_mBHI_mBHI_2_S124,3.0
B_C5_G8_AA_AE_mGAM_mBHI_2_S125,4.0
B_C7_G10_AE_AE_mGAM_mBHI_2_S127,17.0
B_C8_G11_AF_AE_mGAM_mBHI_2_S128,4.0
B_C9_C8_AA_AE_mGAM_mBHI_4_S129,6.0
B_C10_C9_ACPP_AE_mGAM_mBHI_4_S130,12.0
B_C11_C10_AE_AE_mGAM_mBHI_4_S131,13.0
B_C12_C11_AF_AE_mGAM_mBHI_4_S132,27.0
B_D1_H2_AA_AF_mBHI_mBHI_2_S133,4.0
B_D2_H3_ACPP_AF_mBHI_mBHI_2_S134,14.0
B_D3_H4_AE_AF_mBHI_mBHI_2_S135,3.0
B_D4_H5_AF_AF_mBHI_mBHI_2_S136,10.0
B_D5_H8_AA_AF_mGAM_mBHI_2_S137,5.0
B_D6_H9_ACPP_AF_mGAM_mBHI_2_S138,3.0
B_D7_H10_AE_AF_mGAM_mBHI_2_S139,66.0
B_D8_H11_AF_AF_mGAM_mBHI_2_S140,10.0
B_D9_D8_AA_AF_mGAM_mBHI_4_S141,4.0
B_D10_D9_ACPP_AF_mGAM_mBHI_4_S142,10.0
B_D11_D10_AE_AF_mGAM_mBHI_4_S143,29.0
B_D12_D11_AF_AF_mGAM_mBHI_4_S144,5.0
B_E2_E3_ACPP_AA_mBHI_mGAM_2_S146,164.0
B_E3_E4_AE_AA_mBHI_mGAM_2_S147,119.0
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,95.0
B_E5_E8_AA_AA_mGAM_mGAM_2_S149,39.0
B_E6_E9_ACPP_AA_mGAM_mGAM_2_S150,63.0
B_E7_E10_AE_AA_mGAM_mGAM_2_S151,482.0
B_E8_E11_AF_AA_mGAM_mGAM_2_S152,43.0
B_E9_A8_AA_AA_mGAM_mGAM_4_S153,17.0
B_E10_A9_ACPP_AA_mGAM_mGAM_4_S154,182.0
B_E11_A10_AE_AA_mGAM_mGAM_4_S155,40.0
B_E12_A11_AF_AA_mGAM_mGAM_4_S156,32.0
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,621.0
B_G3_G4_AE_AE_mBHI_mGAM_2_S171,119.0
B_G4_G5_AF_AE_mBHI_mGAM_2_S172,31.0
B_G5_G8_AA_AE_mGAM_mGAM_2_S173,48.0
B_G6_G9_ACPP_AE_mGAM_mGAM_2_S174,47.0
B_G7_G10_AE_AE_mGAM_mGAM_2_S175,695.0
B_G8_G11_AF_AE_mGAM_mGAM_2_S176,55.0
B_G9_C8_AA_AE_mGAM_mGAM_4_S177,100.0
B_G10_C9_ACPP_AE_mGAM_mGAM_4_S178,349.0
B_G11_C10_AE_AE_mGAM_mGAM_4_S179,274.0
B_G12_C11_AF_AE_mGAM_mGAM_4_S180,24.0
B_H2_H3_ACPP_AF_mBHI_mGAM_2_S182,238.0
B_H3_H4_AE_AF_mBHI_mGAM_2_S183,56.0
B_H4_H5_AF_AF_mBHI_mGAM_2_S184,121.0
B_H5_H8_AA_AF_mGAM_mGAM_2_S185,57.0
B_H6_H9_ACPP_AF_mGAM_mGAM_2_S186,35.0
B_H7_H10_AE_AF_mGAM_mGAM_2_S187,65.0
B_H8_H11_AF_AF_mGAM_mGAM_2_S188,30.0
B_H9_D8_AA_AF_mGAM_mGAM_4_S189,19.0
B_H10_D9_ACPP_AF_mGAM_mGAM_4_S190,10.0
B_H11_D10_AE_AF_mGAM_mGAM_4_S191,16.0
B_H12_D11_AF_AF_mGAM_mGAM_4_S192,3.0
C_A1_A2_AA_AA_mBHI_mBHI_6_S193,2.0
C_A3_A4_AE_AA_mBHI_mBHI_6_S195,2.0
C_A5_A8_AA_AA_mGAM_mBHI_6_S197,9.0
C_A7_A10_AE_AA_mGAM_mBHI_6_S199,8.0
C_A9_E2_AA_AA_mBHI_mBHI_4_S201,17.0
C_A11_E4_AE_AA_mBHI_mBHI_4_S203,29.0
C_C3_C4_AE_AE_mBHI_mBHI_6_S219,29.0
C_C4_C5_AF_AE_mBHI_mBHI_6_S220,11.0
C_C5_C8_AA_AE_mGAM_mBHI_6_S221,32.0
C_C7_C10_AE_AE_mGAM_mBHI_6_S223,30.0
C_C8_C11_AF_AE_mGAM_mBHI_6_S224,62.0
C_C9_G2_AA_AE_mBHI_mBHI_4_S225,3.0
C_C11_G4_AE_AE_mBHI_mBHI_4_S227,34.0
C_C12_G5_AF_AE_mBHI_mBHI_4_S228,3.0
C_D3_D4_AE_AF_mBHI_mBHI_6_S231,10.0
C_D5_D8_AA_AF_mGAM_mBHI_6_S233,66.0
C_D7_D10_AE_AF_mGAM_mBHI_6_S235,73.0
C_D8_D11_AF_AF_mGAM_mBHI_6_S236,60.0
C_D9_H2_AA_AF_mBHI_mBHI_4_S237,7.0
C_D11_H4_AE_AF_mBHI_mBHI_4_S239,15.0
C_E3_A4_AE_AA_mBHI_mGAM_6_S243,40.0
C_E4_A5_AF_AA_mBHI_mGAM_6_S244,122.0
C_E5_A8_AA_AA_mGAM_mGAM_6_S245,314.0
C_E7_A10_AE_AA_mGAM_mGAM_6_S247,185.0
C_E8_A11_AF_AA_mGAM_mGAM_6_S248,161.0
C_E9_E2_AA_AA_mBHI_mGAM_4_S249,51.0
C_E11_E4_AE_AA_mBHI_mGAM_4_S251,732.0
C_G1_C2_AA_AE_mBHI_mGAM_6_S265,9.0
C_G3_C4_AE_AE_mBHI_mGAM_6_S267,116.0
C_G4_C5_AF_AE_mBHI_mGAM_6_S268,19.0
C_G5_C8_AA_AE_mGAM_mGAM_6_S269,52.0
C_G7_C10_AE_AE_mGAM_mGAM_6_S271,127.0
C_G8_C11_AF_AE_mGAM_mGAM_6_S272,119.0
C_G9_G2_AA_AE_mBHI_mGAM_4_S273,16.0
C_G11_G4_AE_AE_mBHI_mGAM_4_S275,232.0
C_G12_G5_AF_AE_mBHI_mGAM_4_S276,72.0
C_H3_D4_AE_AF_mBHI_mGAM_6_S279,16.0
C_H4_D5_AF_AF_mBHI_mGAM_6_S280,50.0
C_H5_D8_AA_AF_mGAM_mGAM_6_S281,16.0
C_H7_D10_AE_AF_mGAM_mGAM_6_S283,391.0
C_H8_D11_AF_AF_mGAM_mGAM_6_S284,117.0
C_H9_H2_AA_AF_mBHI_mGAM_4_S285,45.0
C_H11_H4_AE_AF_mBHI_mGAM_4_S287,45.0
C_H12_H5_AF_AF_mBHI_mGAM_4_S288,77.0
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,55.0
D_A6_A9_ACPP_AA_mGAM_mBHI_6_S294,40.0
D_A7_A10_AE_AA_mGAM_mBHI_6_S295,44.0
D_A8_A11_AF_AA_mGAM_mBHI_6_S296,151.0
D_A9_E8_AA_AA_mGAM_mBHI_4_S297,55.0
D_A11_E10_AE_AA_mGAM_mBHI_4_S299,11.0
D_A12_E11_AF_AA_mGAM_mBHI_4_S300,108.0
D_C3_C4_AE_AE_mBHI_mBHI_6_S315,26.0
D_C4_C5_AF_AE_mBHI_mBHI_6_S316,6.0
D_C5_C8_AA_AE_mGAM_mBHI_6_S317,7.0
D_C6_C9_ACPP_AE_mGAM_mBHI_6_S318,45.0
D_C7_C10_AE_AE_mGAM_mBHI_6_S319,39.0
D_C8_C11_AF_AE_mGAM_mBHI_6_S320,61.0
D_C9_G8_AA_AE_mGAM_mBHI_4_S321,31.0
D_C11_G10_AE_AE_mGAM_mBHI_4_S323,45.0
D_C12_G11_AF_AE_mGAM_mBHI_4_S324,60.0
D_D1_D2_AA_AF_mBHI_mBHI_6_S325,3.0
D_D3_D4_AE_AF_mBHI_mBHI_6_S327,6.0
D_D5_D8_AA_AF_mGAM_mBHI_6_S329,29.0
D_D6_D9_ACPP_AF_mGAM_mBHI_6_S330,23.0
D_D7_D10_AE_AF_mGAM_mBHI_6_S331,49.0
D_D8_D11_AF_AF_mGAM_mBHI_6_S332,59.0
D_D9_H8_AA_AF_mGAM_mBHI_4_S333,3.0
D_D11_H10_AE_AF_mGAM_mBHI_4_S335,46.0
D_D12_H11_AF_AF_mGAM_mBHI_4_S336,7.0
D_E1_A2_AA_AA_mBHI_mGAM_6_S337,76.0
D_E3_A4_AE_AA_mBHI_mGAM_6_S339,202.0
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,162.0
D_E5_A8_AA_AA_mGAM_mGAM_6_S341,30.0
D_E6_A9_ACPP_AA_mGAM_mGAM_6_S342,251.0
D_E7_A10_AE_AA_mGAM_mGAM_6_S343,145.0
D_E8_A11_AF_AA_mGAM_mGAM_6_S344,73.0
D_E9_E8_AA_AA_mGAM_mGAM_4_S345,97.0
D_E11_E10_AE_AA_mGAM_mGAM_4_S347,165.0
D_E12_E11_AF_AA_mGAM_mGAM_4_S348,62.0
D_G1_C2_AA_AE_mBHI_mGAM_6_S361,152.0
D_G3_C4_AE_AE_mBHI_mGAM_6_S363,330.0
D_G4_C5_AF_AE_mBHI_mGAM_6_S364,7.0
D_G5_C8_AA_AE_mGAM_mGAM_6_S365,107.0
D_G6_C9_ACPP_AE_mGAM_mGAM_6_S366,861.0
D_G7_C10_AE_AE_mGAM_mGAM_6_S367,138.0
D_G8_C11_AF_AE_mGAM_mGAM_6_S368,358.0
D_G9_G8_AA_AE_mGAM_mGAM_4_S369,112.0
D_G11_G10_AE_AE_mGAM_mGAM_4_S371,242.0
D_G12_G11_AF_AE_mGAM_mGAM_4_S372,515.0
D_H1_D2_AA_AF_mBHI_mGAM_6_S373,23.0
D_H3_D4_AE_AF_mBHI_mGAM_6_S375,102.0
D_H4_D5_AF_AF_mBHI_mGAM_6_S376,81.0
D_H5_D8_AA_AF_mGAM_mGAM_6_S377,138.0
D_H7_D10_AE_AF_mGAM_mGAM_6_S379,8.0
D_H8_D11_AF_AF_mGAM_mGAM_6_S380,33.0
D_H9_H8_AA_AF_mGAM_mGAM_4_S381,15.0
D_H11_H10_AE_AF_mGAM_mGAM_4_S383,6.0
C9-e003Coalescence-mGAM-p3,236.0
C11-e003Coalescence-mBHI-p3,11.0
D11-e003Coalescence-mBHI-p5,32.0
C9-e003Coalescence-mGAM-p7,334.0
