,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p1_S764,3273,6150
A10-e003Coalescence-mBHI-p5,3086,5787
A10-e003Coalescence-mBHI-p7,3171,5951
A10-e003Coalescence-mGAM-p3,3191,5880
A10-e003Coalescence-mGAM-p7,3183,5904
A4-e003Coalescence-Inoculumn-mGAM,3274,6143
A_C5_C8_AA_AE_mGAM_mBHI_2_S29,3139,5750
A_G5_C8_AA_AE_mGAM_mGAM_2_S77,3196,5966
B_A11_A10_AE_AA_mGAM_mBHI_4_S107,3283,6152
B_A7_E10_AE_AA_mGAM_mBHI_2_S103,3273,6105
B_C5_G8_AA_AE_mGAM_mBHI_2_S125,2843,5289
B_C9_C8_AA_AE_mGAM_mBHI_4_S129,3005,5511
B_E11_A10_AE_AA_mGAM_mGAM_4_S155,3234,6008
B_E7_E10_AE_AA_mGAM_mGAM_2_S151,3229,6011
B_G9_C8_AA_AE_mGAM_mGAM_4_S177,2831,5254
C2-e003Coalescence-Inoculumn-mGAM,3205,6037
C8-e003Coalescence-mBHI-p1_S750,3193,5996
C8-e003Coalescence-mBHI-p5,3282,6149
C8-e003Coalescence-mBHI-p7,3213,5999
C8-e003Coalescence-mGAM-p7,3170,5897
C_A7_A10_AE_AA_mGAM_mBHI_6_S199,3141,5836
C_C5_C8_AA_AE_mGAM_mBHI_6_S221,3283,6157
C_E7_A10_AE_AA_mGAM_mGAM_6_S247,3283,6160
C_G5_C8_AA_AE_mGAM_mGAM_6_S269,2643,4902
Coalescence-C2-A10-AA-AE-mGAM-mGAM-5_S645,3272,6093
Coalescence-D3-C8-AA-AE-mGAM-mGAM-5_S658,3249,6067
Coalescence-E12-C8-AA-AE-mGAM-mBHI-3_S679,3283,6143
Coalescence-F2-E10-AA-AE-mGAM-mBHI-3_S681,3282,6139
Coalescence-F9-C8-AA-AE-mGAM-mGAM-3_S688,3125,5844
D_A11_E10_AE_AA_mGAM_mBHI_4_S299,2940,5515
D_A6_A9_ACPP_AA_mGAM_mBHI_6_S294,3281,6160
D_A7_A10_AE_AA_mGAM_mBHI_6_S295,3282,6160
D_C5_C8_AA_AE_mGAM_mBHI_6_S317,3242,6068
D_C9_G8_AA_AE_mGAM_mBHI_4_S321,3281,6152
D_E11_E10_AE_AA_mGAM_mGAM_4_S347,3268,6130
D_E6_A9_ACPP_AA_mGAM_mGAM_6_S342,3143,5851
D_E7_A10_AE_AA_mGAM_mGAM_6_S343,3277,6139
D_G5_C8_AA_AE_mGAM_mGAM_6_S365,3241,6037
D_G9_G8_AA_AE_mGAM_mGAM_4_S369,3144,5848
E10-e003Coalescence-mBHI-p1_S828,3278,6160
E100-e003Coalescence-mBHI-p5_S7,3274,6136
E100-e003Coalescence-mBHI-p7_S103,3134,5880
E100-e003Coalescence-mGAM-p3_S155,2830,5235
E100-e003Coalescence-mGAM-p5_S55,2997,5549
E100-e003Coalescence-mGAM-p7_S151,3181,5838
G8-e003Coalescence-mBHI-p1_S814,3262,6131
G8-e003Coalescence-mBHI-p3_S129,3276,6144
G8-e003Coalescence-mBHI-p5_S29,3258,6129
G8-e003Coalescence-mBHI-p7_S125,3225,6036
G8-e003Coalescence-mGAM-p5_S77,3015,5465
G8-e003Coalescence-mGAM-p7_S173,3250,6040
