,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,4454,3309
A5-e003Coalescence-mBHI-inoculumn-redo,5951,4468
A5-e003Coalescence-mBHI-p1_S740,4459,3339
A5-e003Coalescence-mGAM-p1_S744,5940,4433
A5-e003Coalescence-mGAM-p3,5527,4109
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,4415,3236
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,5681,4258
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,6041,4530
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,6032,4509
A_E12_A5_AF_AA_mBHI_mGAM_4_S60,5696,4188
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,5967,4431
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,6036,4511
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,6019,4517
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,5399,4014
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,6016,4494
C_E4_A5_AF_AA_mBHI_mGAM_6_S244,5963,4440
C_H9_H2_AA_AF_mBHI_mGAM_4_S285,3994,2863
D2-e003Coalescence-Inoculumn-mBHI,5502,4116
D2-e003Coalescence-mBHI-p3,5978,4470
D2-e003Coalescence-mGAM-p1_S723,5954,4459
D2-e003Coalescence-mGAM-p5,3498,2657
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,5990,4500
E5-e003Coalescence-mGAM-p1_S808,5209,3906
E5-e003Coalescence-mGAM-p3_S60,5915,4374
E5-e003Coalescence-mGAM-p7_S148,5483,4074
H2-e003Coalescence-mBHI-p3_S45,4644,3402
H2-e003Coalescence-mGAM-p1_S787,6034,4540
H2-e003Coalescence-mGAM-p7_S181,5112,3807
