,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
C9-e003Coalescence-mGAM-p3,2081,2310
C11-e003Coalescence-mBHI-p3,937,948
C9-e003Coalescence-mGAM-p7,2008,2165
C8-e003Coalescence-mGAM-p7,1344,1384
D10-e003Coalescence-mBHI-p3,1787,1905
F3-e004Assembly-epsilon-p3,2267,2469
A4-e003Coalescence-mBHI-p7,968,953
B9-e003Coalescence-mGAM-p5,2176,2387
A4-e003Coalescence-mBHI-inoculumn-redo,2207,2385
B3-e003Coalescence-mBHI-p3,2273,2491
D4-e003Coalescence-mBHI-p5,1166,1108
C2-e003Coalescence-mBHI-p5,1586,1698
B3-e004Assembly-mBHI-p7,1483,1562
D4-e003Coalescence-mBHI-p3,1651,1708
C4-e003GlycerolRevival-mBHI-p2,2213,2371
D10-e003Assembly-mGAM-p5,866,916
C3-e004Assembly-mBHI-p5,1012,1178
D3-e004Assembly-mGAM-p7,2279,2493
D3-e003Coalescence-Inoculumn-mBHI,1149,1294
C3-e003Coalescence-mBHI-p7,2281,2497
B8-e003Coalescence-mBHI-p5,2245,2469
C2-e003Coalescence-mGAM-p7,2131,2301
B11-e003Coalescence-mGAM-p3,2269,2481
C4-e003Coalescence-mBHI-inoculumn-redo,1608,1808
D5-e003Coalescence-mBHI-p7,2265,2483
C9-e003Coalescence-mBHI-p5,2032,2227
C2-e003Coalescence-mBHI-p3,2267,2477
D9-e003Coalescence-mGAM-p7,2118,2316
D4-e003Coalescence-mBHI-p7,1791,1875
E3-e004Assembly-mGAM-p3,2196,2378
B10-e003Coalescence-mGAM-p3,1789,1893
B5-e003Coalescence-Inoculumn-mGAM,1508,1699
D5-e003Coalescence-mBHI-p3,2008,2166
D9-e003Coalescence-mGAM-p5,2261,2478
C9-e003Coalescence-mBHI-p3,2247,2449
D10-e003Coalescence-mGAM-p5,2259,2464
C8-e003Coalescence-mBHI-p7,1847,2006
G3-e004Assembly-epsilon-p7,2222,2436
D4-e003Coalescence-mGAM-p5,2239,2443
C3-e004Assembly-mBHI-p7,2083,2254
B5-e003Coalescence-mGAM-p5,2210,2451
G3-e004Assembly-epsilon-p3,2274,2488
B5-e003Coalescence-mGAM-p7,1192,1388
B10-e003Coalescence-mBHI-p5,2017,2192
B3-e004Assembly-mBHI-p5,1117,1188
B5-e003Coalescence-mBHI-p3,1592,1710
C5-e003Coalescence-mGAM-p7,1032,1052
C5-e003Coalescence-mBHI-inoculumn-redo,2241,2431
A10-e003Coalescence-mBHI-p5,913,981
AM-Fecal,2130,2350
A4-e003Coalescence-mGAM-p5,2272,2485
D5-e003Coalescence-mBHI-p5,2284,2500
D4-e003Coalescence-mGAM-p7,2271,2471
