,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
C5-e003Coalescence-mGAM-p3,,0.955
A3-e003Coalescence-mBHI-inoculumn-redo,,0.43899999999999995
D9-e003Assembly-mGAM-p5,,0.9852702308307598
B12-e003Coalescence-mGAM-p3,,0.99271806073256
A11-e003Coalescence-mBHI-p7,,0.9991855853744273
A3-e003Coalescence-Inoculumn-mGAM,,0.9848414432234314
D10-e003Assembly-mGAM-p3,,0.5
C3-e003Coalescence-mGAM-p5,,0.75
B4-e004Assembly-mBHI-p5,,0.9883328309895266
C10-e003GlycerolRevival-mGAM-p2,,0.9822581955836139
D3-e003Assembly-mBHI-p5,,0.9983807032836133
A10-e003Coalescence-mGAM-p3,,0.594
A9-e003Coalescence-mBHI-p3,,0.9982684170457976
A2-e003Coalescence-Inoculumn-mBHI,,0.9973813183611573
D3-e003Coalescence-mBHI-p7,,0.403
C3-e003Coalescence-mBHI-p5,,0.351
D2-e003Assembly-mBHI-p3,,0.9962669367087589
B3-e003Assembly-mBHI-p5,,0.406
A9-e003Coalescence-mBHI-p5,,0.9953710882308898
D5-e003Coalescence-Inoculumn-mBHI,,0.773
B2-e003Coalescence-mGAM-p3,,0.278
B4-e003Assembly-mBHI-p3,,0.22199999999999998
C11-e003Coalescence-mGAM-p5,,0.9901222576299625
G4-e004Assembly-epsilon-p3,,0.02100000000000002
B3-e003Coalescence-Inoculumn-mBHI,,0.21899999999999997
A8-e003Coalescence-mBHI-p5,,0.9980759120837225
C2-e003Assembly-mBHI-p5,,0.9901974384720689
D9-e003Coalescence-mBHI-p3,,0.9862720895435323
D5-e003Assembly-mBHI-p5,,0.64
A5-e003Coalescence-mBHI-p7,,0.9985832348983745
G2-e004Assembly-epsilon-p3,,0.041000000000000036
BG-Fecal,,0.009519971633745367
D2-e003Coalescence-mGAM-p5,,0.9952130083299017
B9-e003Assembly-mGAM-p5,,0.9815636794179319
D3-e003Coalescence-mGAM-p3,,0.9
D9-e003Coalescence-mGAM-p3,,0.9959503824282653
E2-e004Assembly-mGAM-p7,,0.030210020212914017
D3-e003Coalescence-mGAM-p5,,0.955
C10-e003Coalescence-mGAM-p3,,0.656
A5-e003Coalescence-mBHI-inoculumn-redo,,0.921
B11-e003Assembly-mGAM-p3,,0.9771805216287834
D2-e003Assembly-mBHI-p5,,0.9883669124211929
B9-e003Coalescence-mGAM-p7,,0.992634767164722
B11-e003Coalescence-mGAM-p7,,0.9917983607140913
C3-e003Coalescence-Inoculumn-mGAM,,0.729
B5-e003Coalescence-mBHI-p7,,0.4515
A3-e003Coalescence-mGAM-p7,,0.346
D4-e003Coalescence-Inoculumn-mBHI,,0.33799999999999997
A4-e003Coalescence-mBHI-p5,,0.44299999999999995
B3-e003Coalescence-mBHI-p7,,0.328
C2-e004Assembly-mBHI-p7,,0.21999999999999997
D10-e003Coalescence-mGAM-p7,,0.9967457791903175
C12-e003Coalescence-mGAM-p3,,0.9717922469815579
C11-e003Coalescence-mGAM-p3,,0.869
A10-e003Coalescence-mBHI-p7,,0.30500000000000005
C10-e003Coalescence-mBHI-p7,,0.258
B9-e003Coalescence-mBHI-p5,,0.9989784007043628
F4-e004Assembly-epsilon-p3,,0.050000000000000044
B10-e003Coalescence-mBHI-p3,,0.7050000000000001
C11-e003Coalescence-mBHI-p5,,0.793
A2-e003Coalescence-mGAM-p7,,0.9898573494178434
C5-e003Assembly-mBHI-p3,,0.868
E3-e004Assembly-mGAM-p5,,0.00480079377180335
E2-e004Assembly-mGAM-p5,,0.010109654933404794
C3-e003GlycerolRevival-mBHI-p2,,0.9982816380913246
D10-e003Coalescence-mGAM-p3,,0.871
B10-e003Coalescence-mGAM-p7,,0.9783274695699029
C4-e004Assembly-mBHI-p3,,0.976
A9-e003Coalescence-mBHI-p7,,0.9986640673822718
C2-e003Coalescence-Inoculumn-mGAM,,0.782
B3-e003Coalescence-Inoculumn-mGAM,,0.9956086596620004
D11-e003Coalescence-mGAM-p7,,0.9999208988755418
D5-e003Coalescence-mGAM-p3,,0.946
D4-e004Assembly-mGAM-p3,,0.921439183768286
E4-e004Assembly-mGAM-p5,,0.9788538674158773
D2-e003Coalescence-Inoculumn-mBHI,,0.862
B4-e003Coalescence-Inoculumn-mGAM,,0.771
F2-e004Assembly-epsilon-p7,,0.00475613585917673
A10-e003Coalescence-mGAM-p7,,0.42500000000000004
B2-e003Assembly-mBHI-p3,,0.9967362074906726
F4-e004Assembly-epsilon-p7,,0.0017468368221194635
D9-e003Coalescence-mBHI-p5,,0.9978952774170063
C4-e003Coalescence-Inoculumn-mGAM,,0.696
D4-e003Coalescence-mGAM-p3,,0.9339999999999999
B9-e003Coalescence-mBHI-p7,,0.9977339951158934
A2-e003Coalescence-mGAM-p5,,0.9925276463535704
D11-e003Assembly-mGAM-p5,,0.9864337619366548
C3-e003Coalescence-mGAM-p7,,0.8
B11-e003GlycerolRevival-mGAM-p2,,0.997707961485041
B3-e003Coalescence-mGAM-p5,,0.486
D9-e003Coalescence-mBHI-p7,,0.9974975890504991
B10-e003Assembly-mGAM-p3,,0.625
D3-e004Assembly-mGAM-p5,,0.011055379091455559
C5-e003Coalescence-mBHI-p7,,0.94
D12-e003Coalescence-mBHI-p3,,0.99899789316847
E2-e004Assembly-mGAM-p3,,0.07929152456166395
D4-e004Assembly-mGAM-p7,,0.928
C11-e003Coalescence-mGAM-p7,,0.9925663702884344
C11-e003Assembly-mGAM-p3,,0.8884781784586877
D10-e003Coalescence-mBHI-p7,,0.772
C9-e003Coalescence-mBHI-p7,,0.6739999999999999
A2-e003Coalescence-mBHI-p3,,0.99785485728561
B8-e003Coalescence-mGAM-p5,,0.9889570287119213
C3-e004Assembly-mBHI-p3,,0.0014350583808275866
C11-e003Assembly-mGAM-p5,,0.7438401301794151
B10-e003GlycerolRevival-mGAM-p2,,0.645
B3-e003Coalescence-mBHI-p5,,0.33599999999999997
C2-e003Coalescence-mBHI-inoculumn-redo,,0.3995
A8-e003Coalescence-mGAM-p7,,0.9884325680468233
C11-e003GlycerolRevival-mGAM-p2,,0.9947827762977672
B2-e003Coalescence-Inoculumn-mBHI,,0.472
A11-e003Coalescence-mBHI-p5,,0.9979135719902419
C10-e003Coalescence-mGAM-p5,,0.8
C4-e003Assembly-mBHI-p5,,0.33299999999999996
C9-e003Assembly-mGAM-p5,,0.9900975145469495
A5-e003Coalescence-Inoculumn-mGAM,,0.9946672812046853
A3-e003Coalescence-mBHI-p3,,0.517
D4-e003Coalescence-Inoculumn-mGAM,,0.783
A2-e003Coalescence-mBHI-p5,,0.9984145282259794
G2-e004Assembly-epsilon-p5,,0.07999999999999996
C5-e003Assembly-mBHI-p5,,0.37
C10-e003Coalescence-mBHI-p5,,0.27
B9-e003Coalescence-mBHI-p3,,0.9973897802497269
C3-e003Coalescence-mBHI-inoculumn-redo,,0.17100000000000004
e004-inoculumn-fecal-AR,,0.1263146310460935
B5-e003Coalescence-mGAM-p3,,0.917
C3-e003Assembly-mBHI-p5,,0.9959523336019493
F2-e004Assembly-epsilon-p5,,0.022
A5-e003Coalescence-mBHI-p3,,0.9904036900695287
C4-e004Assembly-mBHI-p7,,0.484
A4-e003Coalescence-mBHI-p3,,0.22199999999999998
C9-e003GlycerolRevival-mGAM-p2,,0.9919171275841022
B2-e004Assembly-mBHI-p7,,0.667
B4-e004Assembly-mBHI-p3,,0.9608596306631824
F3-e004Assembly-epsilon-p5,,0.0044712952593809665
C9-e003Coalescence-mGAM-p5,,0.9955624081300342
A2-e003Coalescence-mBHI-inoculumn-redo,,0.997669555722178
C2-e003Coalescence-mGAM-p5,,0.262
B8-e003GlycerolRevival-mGAM-p2,,0.9853695024306036
C8-e003Coalescence-mBHI-p5,,0.29700000000000004
B8-e003Coalescence-mGAM-p7,,0.9908745015275227
B4-e003Coalescence-Inoculumn-mBHI,,0.19699999999999995
D2-e003Coalescence-Inoculumn-mGAM,,0.9941122038067389
B8-e003Coalescence-mBHI-p7,,0.9968872952603735
B3-e004Assembly-mBHI-p3,,0.0026255396689289687
D3-e003Coalescence-Inoculumn-mGAM,,0.9929809592598198
B11-e003Coalescence-mBHI-p3,,0.9982968829185881
C5-e003Coalescence-Inoculumn-mGAM,,0.792
C4-e003Coalescence-mBHI-p5,,0.22949999999999998
B2-e004Assembly-mBHI-p3,,0.281
G3-e004Assembly-epsilon-p5,,0.0024767099323086787
A11-e003Coalescence-mBHI-p3,,0.999328346827342
B2-e004Assembly-mBHI-p5,,0.5780000000000001
B4-e004Assembly-mBHI-p7,,0.771
B2-e003Coalescence-mBHI-p7,,0.29700000000000004
A4-e003Coalescence-Inoculumn-mGAM,,0.786
B4-e003Coalescence-mBHI-p3,,0.262
A5-e003Coalescence-Inoculumn-mBHI,,0.909
C2-e003Coalescence-mBHI-p7,,0.22199999999999998
A9-e003Coalescence-mGAM-p5,,0.9889475417965086
C10-e003Coalescence-mGAM-p7,,0.723
F3-e004Assembly-epsilon-p7,,0.003279242321284145
A11-e003Coalescence-mGAM-p3,,0.9979933569674313
C10-e003Coalescence-mBHI-p3,,0.30800000000000005
D2-e003Coalescence-mBHI-p3,,0.9976235978584715
C5-e003GlycerolRevival-mBHI-p2,,0.43600000000000005
H5-e003Coalescence-mBHI-p5_S40,,0.741
E2-e003Coalescence-mGAM-p7_S145,,0.991185360023105
G5-e003Coalescence-mBHI-p7_S124,,0.8405
H111-e003Coalescence-mGAM-p7_S188,,0.9998617876409785
H4-e003Coalescence-mGAM-p7_S183,,0.9971835761418142
F5-e003Coalescence-mGAM-p5_S64,,0.941
F5-e003Coalescence-mGAM-p7_S160,,0.846
F8-e003Coalescence-mBHI-p3_S117,,0.9954413251893597
H3-e003Coalescence-mBHI-p3_S46,,0.571
H2-e003Coalescence-mBHI-p7_S133,,0.982
E5-e003Coalescence-mBHI-p3_S12,,0.9965068741387029
F100-e003Coalescence-mGAM-p7_S163,,0.9959655980583416
F9-e003Coalescence-mBHI-p5_S18,,0.9976328933516709
H3-e003Coalescence-mBHI-p7_S134,,0.485
E3-e003Coalescence-mGAM-p3_S58,,0.261
G4-e003Coalescence-mBHI-p5_S27,,0.20799999999999996
E8-e003Coalescence-mBHI-p5_S5,,0.9984141097053597
G2-e003Coalescence-mBHI-p3_S33,,0.18400000000000005
E9-e003Coalescence-mBHI-p5_S6,,0.995952125762196
H111-e003Coalescence-mBHI-p3_S144,,0.9999551981503435
G111-e003Coalescence-mGAM-p5_S80,,0.9920907990208814
G100-e003Coalescence-mGAM-p3_S179,,0.6579999999999999
F111-e003Coalescence-mGAM-p5_S68,,0.989831225025161
G111-e003Coalescence-mBHI-p5_S32,,0.77
G5-e003Coalescence-mBHI-p3_S36,,0.581
H2-e003Coalescence-mGAM-p7_S181,,0.99811218264911
H9-e003Coalescence-mGAM-p3_S190,,0.9820195988252614
F2-e003Coalescence-mBHI-p7_S109,,0.11998927988229387
E3-e003Coalescence-mBHI-p3_S10,,0.45499999999999996
H2-e003Coalescence-mGAM-p5_S85,,0.9648054606293407
G8-e003Coalescence-mGAM-p3_S177,,0.7785
F2-e003Coalescence-mGAM-p7_S157,,0.246
H3-e003Coalescence-mGAM-p3_S94,,0.923
H4-e003Coalescence-mGAM-p3_S95,,0.842
E5-e003Coalescence-mBHI-p7_S100,,0.975
G111-e003Coalescence-mBHI-p3_S132,,0.8924191304295864
F3-e003Coalescence-mGAM-p3_S70,,0.385
E100-e003Coalescence-mBHI-p7_S103,,0.521
F9-e003Coalescence-mGAM-p5_S66,,0.9958145115706802
G111-e003Coalescence-mGAM-p7_S176,,0.8721894689728643
H100-e003Coalescence-mGAM-p7_S187,,0.9840112461076238
E100-e003Coalescence-mGAM-p3_S155,,0.577
E3-e003Coalescence-mGAM-p5_S50,,0.207
F5-e003Coalescence-mGAM-p3_S72,,0.9647524917196619
E9-e003Coalescence-mBHI-p7_S102,,0.985
E5-e003Coalescence-mBHI-p5_S4,,0.9975736019966517
F111-e003Coalescence-mGAM-p7_S164,,0.9922979694553817
E111-e003Coalescence-mBHI-p5_S8,,0.9984833092151097
H100-e003Coalescence-mBHI-p5_S43,,0.784
F2-e003Coalescence-mGAM-p5_S61,,0.20299999999999996
F5-e003Coalescence-mBHI-p5_S16,,0.533
F8-e003Coalescence-mGAM-p5_S65,,0.9859019905673068
H8-e003Coalescence-mBHI-p7_S137,,0.9991391244945065
