,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
D11-e003Assembly-mGAM-p5,1.0,
C3-e003Coalescence-mGAM-p7,0.3333333333333333,
B11-e003GlycerolRevival-mGAM-p2,1.0,
B3-e003Coalescence-mGAM-p5,0.3333333333333333,
D9-e003Coalescence-mBHI-p7,0.3333333333333333,
B10-e003Assembly-mGAM-p3,0.3333333333333333,
D3-e004Assembly-mGAM-p5,1.0,
C5-e003Coalescence-mBHI-p7,0.3333333333333333,
D12-e003Coalescence-mBHI-p3,1.0,
E2-e004Assembly-mGAM-p3,0.6666666666666666,
D4-e004Assembly-mGAM-p7,0.0,
C11-e003Coalescence-mGAM-p7,0.3333333333333333,
C11-e003Assembly-mGAM-p3,0.6666666666666666,
D10-e003Coalescence-mBHI-p7,0.3333333333333333,
C9-e003Coalescence-mBHI-p7,0.3333333333333333,
A2-e003Coalescence-mBHI-p3,0.0,
B8-e003Coalescence-mGAM-p5,0.3333333333333333,
C3-e004Assembly-mBHI-p3,1.0,
C11-e003Assembly-mGAM-p5,0.6666666666666666,
B10-e003GlycerolRevival-mGAM-p2,0.3333333333333333,
B3-e003Coalescence-mBHI-p5,0.3333333333333333,
C2-e003Coalescence-mBHI-inoculumn-redo,0.0,
A8-e003Coalescence-mGAM-p7,0.0,
C11-e003GlycerolRevival-mGAM-p2,1.0,
B2-e003Coalescence-Inoculumn-mBHI,0.0,
A11-e003Coalescence-mBHI-p5,1.0,
C10-e003Coalescence-mGAM-p5,0.3333333333333333,
C4-e003Assembly-mBHI-p5,0.3333333333333333,
C9-e003Assembly-mGAM-p5,0.3333333333333333,
A5-e003Coalescence-Inoculumn-mGAM,0.0,
A3-e003Coalescence-mBHI-p3,0.0,
D4-e003Coalescence-Inoculumn-mGAM,0.3333333333333333,
A2-e003Coalescence-mBHI-p5,0.0,
G2-e004Assembly-epsilon-p5,0.0,
C5-e003Assembly-mBHI-p5,1.0,
C10-e003Coalescence-mBHI-p5,0.3333333333333333,
B9-e003Coalescence-mBHI-p3,0.3333333333333333,
C3-e003Coalescence-mBHI-inoculumn-redo,0.3333333333333333,
e004-inoculumn-fecal-AR,0.0,
B5-e003Coalescence-mGAM-p3,0.0,
C3-e003Assembly-mBHI-p5,0.3333333333333333,
F2-e004Assembly-epsilon-p5,0.0,
A5-e003Coalescence-mBHI-p3,0.0,
C4-e004Assembly-mBHI-p7,0.0,
A4-e003Coalescence-mBHI-p3,0.0,
C9-e003GlycerolRevival-mGAM-p2,0.3333333333333333,
B2-e004Assembly-mBHI-p7,0.0,
B4-e004Assembly-mBHI-p3,0.0,
F3-e004Assembly-epsilon-p5,1.0,
C9-e003Coalescence-mGAM-p5,0.3333333333333333,
A2-e003Coalescence-mBHI-inoculumn-redo,0.0,
C2-e003Coalescence-mGAM-p5,0.3333333333333333,
B8-e003GlycerolRevival-mGAM-p2,0.0,
C8-e003Coalescence-mBHI-p5,0.0,
B8-e003Coalescence-mGAM-p7,0.3333333333333333,
B4-e003Coalescence-Inoculumn-mBHI,0.3333333333333333,
D2-e003Coalescence-Inoculumn-mGAM,0.0,
B8-e003Coalescence-mBHI-p7,0.3333333333333333,
B3-e004Assembly-mBHI-p3,1.0,
D3-e003Coalescence-Inoculumn-mGAM,0.3333333333333333,
B11-e003Coalescence-mBHI-p3,0.3333333333333333,
C5-e003Coalescence-Inoculumn-mGAM,0.3333333333333333,
C4-e003Coalescence-mBHI-p5,0.3333333333333333,
B2-e004Assembly-mBHI-p3,0.0,
G3-e004Assembly-epsilon-p5,0.6666666666666666,
A11-e003Coalescence-mBHI-p3,0.0,
B2-e004Assembly-mBHI-p5,0.0,
B4-e004Assembly-mBHI-p7,0.0,
B2-e003Coalescence-mBHI-p7,0.3333333333333333,
A4-e003Coalescence-Inoculumn-mGAM,0.0,
B4-e003Coalescence-mBHI-p3,0.3333333333333333,
A5-e003Coalescence-Inoculumn-mBHI,0.0,
C2-e003Coalescence-mBHI-p7,0.3333333333333333,
A9-e003Coalescence-mGAM-p5,0.3333333333333333,
C10-e003Coalescence-mGAM-p7,0.3333333333333333,
F3-e004Assembly-epsilon-p7,1.0,
A11-e003Coalescence-mGAM-p3,0.3333333333333333,
C10-e003Coalescence-mBHI-p3,0.3333333333333333,
D2-e003Coalescence-mBHI-p3,0.0,
C5-e003GlycerolRevival-mBHI-p2,1.0,
H5-e003Coalescence-mBHI-p5_S40,1.0,
E2-e003Coalescence-mGAM-p7_S145,0.0,
G5-e003Coalescence-mBHI-p7_S124,0.3333333333333333,
H111-e003Coalescence-mGAM-p7_S188,1.0,
H4-e003Coalescence-mGAM-p7_S183,0.3333333333333333,
F5-e003Coalescence-mGAM-p5_S64,0.3333333333333333,
F5-e003Coalescence-mGAM-p7_S160,0.3333333333333333,
F8-e003Coalescence-mBHI-p3_S117,0.3333333333333333,
H3-e003Coalescence-mBHI-p3_S46,0.3333333333333333,
H2-e003Coalescence-mBHI-p7_S133,0.0,
