,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,0,4377
C9-e003Coalescence-mGAM-p3,0,4251
D2-e004Assembly-mGAM-p7,0,4095
C11-e003Coalescence-mBHI-p3,0,4396
D11-e003Coalescence-mBHI-p5,0,4399
C9-e003Coalescence-mGAM-p7,0,4224
C8-e003Coalescence-mGAM-p7,0,4379
D10-e003Coalescence-mBHI-p3,0,4413
F3-e004Assembly-epsilon-p3,0,4069
B2-e003Coalescence-mBHI-p3,0,4398
A8-e003Coalescence-mBHI-p3,0,4244
e004-inoculumn-fecal-BD,0,4167
A4-e003Coalescence-mBHI-p7,0,4396
B4-e003Coalescence-mBHI-p5,0,3821
B9-e003Coalescence-mGAM-p5,0,4295
A4-e003Coalescence-mBHI-inoculumn-redo,0,4381
B3-e003Coalescence-mBHI-p3,0,4392
D4-e003Coalescence-mBHI-p5,0,4410
C2-e003Coalescence-mBHI-p5,0,4282
B3-e004Assembly-mBHI-p7,0,4089
D4-e003Coalescence-mBHI-p3,0,4408
C4-e003GlycerolRevival-mBHI-p2,0,4344
D10-e003Assembly-mGAM-p5,0,3962
B2-e003Assembly-mBHI-p5,0,4059
C3-e004Assembly-mBHI-p5,0,4079
B2-e003Coalescence-mBHI-p5,0,4321
B8-e003Assembly-mGAM-p5,0,3977
F4-e004Assembly-epsilon-p5,0,4237
C4-e003Coalescence-mGAM-p7,0,4320
B12-e003Coalescence-mBHI-p3,0,4326
D3-e004Assembly-mGAM-p7,0,3987
C8-e003Assembly-mGAM-p3,0,4108
C3-e003Coalescence-mGAM-p3,0,4392
B4-e003Assembly-mBHI-p5,0,4229
D4-e004Assembly-mGAM-p5,0,4145
D3-e003Coalescence-Inoculumn-mBHI,0,4410
C8-e003Assembly-mGAM-p5,0,3823
C3-e003Coalescence-mBHI-p7,0,4390
D11-e003Coalescence-mGAM-p5,0,4334
A11-e003Coalescence-mGAM-p7,0,4240
B8-e003Coalescence-mBHI-p5,0,4356
B10-e003Assembly-mGAM-p5,0,4276
C2-e003Coalescence-mGAM-p7,0,4264
D3-e003Coalescence-mBHI-p5,0,4413
B11-e003Coalescence-mGAM-p3,0,4402
C4-e003Coalescence-mBHI-inoculumn-redo,0,4231
B5-e003Assembly-mBHI-p5,0,4374
D2-e003Coalescence-mBHI-p5,0,4387
D8-e003Assembly-mGAM-p5,0,3995
D5-e003Coalescence-mGAM-p5,0,4320
B5-e003Coalescence-mBHI-p5,0,4416
D5-e003Coalescence-mBHI-p7,0,4391
C9-e003Coalescence-mBHI-p5,0,4397
A10-e003Coalescence-mBHI-p3,0,4365
A5-e003Coalescence-mGAM-p3,0,4329
A2-e003Coalescence-Inoculumn-mGAM,0,4191
