,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,2330,19551
C9-e003Coalescence-mGAM-p3,2316,19469
D2-e004Assembly-mGAM-p7,2067,17593
C11-e003Coalescence-mBHI-p3,2350,19619
D11-e003Coalescence-mBHI-p5,2317,19436
C9-e003Coalescence-mGAM-p7,2304,19414
C8-e003Coalescence-mGAM-p7,2355,19655
D10-e003Coalescence-mBHI-p3,2357,19684
F3-e004Assembly-epsilon-p3,2156,18441
B2-e003Coalescence-mBHI-p3,2359,19691
A8-e003Coalescence-mBHI-p3,2276,19153
e004-inoculumn-fecal-BD,2123,17873
A4-e003Coalescence-mBHI-p7,2352,19657
B4-e003Coalescence-mBHI-p5,2037,17453
B9-e003Coalescence-mGAM-p5,2339,19591
A4-e003Coalescence-mBHI-inoculumn-redo,2356,19671
B3-e003Coalescence-mBHI-p3,2359,19693
D4-e003Coalescence-mBHI-p5,2354,19655
C2-e003Coalescence-mBHI-p5,2358,19620
B3-e004Assembly-mBHI-p7,2149,18427
D4-e003Coalescence-mBHI-p3,2356,19679
C4-e003GlycerolRevival-mBHI-p2,2358,19658
D10-e003Assembly-mGAM-p5,2145,18149
B2-e003Assembly-mBHI-p5,2211,18697
C3-e004Assembly-mBHI-p5,2158,18413
B2-e003Coalescence-mBHI-p5,2357,19647
B8-e003Assembly-mGAM-p5,2201,18542
F4-e004Assembly-epsilon-p5,2125,17927
C4-e003Coalescence-mGAM-p7,2352,19604
B12-e003Coalescence-mBHI-p3,2307,19369
D3-e004Assembly-mGAM-p7,2108,18087
C8-e003Assembly-mGAM-p3,2221,18844
C3-e003Coalescence-mGAM-p3,2358,19687
B4-e003Assembly-mBHI-p5,2353,19583
D4-e004Assembly-mGAM-p5,2221,18807
D3-e003Coalescence-Inoculumn-mBHI,2359,19689
C8-e003Assembly-mGAM-p5,2064,17885
C3-e003Coalescence-mBHI-p7,2359,19687
D11-e003Coalescence-mGAM-p5,2298,19312
A11-e003Coalescence-mGAM-p7,2292,19153
B8-e003Coalescence-mBHI-p5,2345,19635
B10-e003Assembly-mGAM-p5,2295,19297
C2-e003Coalescence-mGAM-p7,2358,19628
D3-e003Coalescence-mBHI-p5,2356,19677
B11-e003Coalescence-mGAM-p3,2340,19586
C4-e003Coalescence-mBHI-inoculumn-redo,2357,19573
B5-e003Assembly-mBHI-p5,2303,19336
D2-e003Coalescence-mBHI-p5,2327,19503
D8-e003Assembly-mGAM-p5,2156,18444
D5-e003Coalescence-mGAM-p5,2297,19294
B5-e003Coalescence-mBHI-p5,2357,19681
D5-e003Coalescence-mBHI-p7,2316,19482
C9-e003Coalescence-mBHI-p5,2355,19686
A10-e003Coalescence-mBHI-p3,2350,19579
A5-e003Coalescence-mGAM-p3,2320,19398
A2-e003Coalescence-Inoculumn-mGAM,2250,19036
D8-e003Coalescence-mGAM-p5,2276,19318
A12-e003Coalescence-mGAM-p3,2266,18993
C2-e003Coalescence-mBHI-p3,2359,19607
C4-e004Assembly-mBHI-p5,2215,18748
D9-e003Coalescence-mGAM-p7,2324,19530
D4-e003Coalescence-mBHI-p7,2338,19605
D8-e003Assembly-mGAM-p3,2177,18533
E4-e004Assembly-mGAM-p7,2210,18766
E3-e004Assembly-mGAM-p3,2154,18367
D2-e004Assembly-mGAM-p3,2043,17401
B10-e003Coalescence-mGAM-p3,2303,19424
A9-e003Coalescence-mGAM-p7,2308,19388
B5-e003Coalescence-Inoculumn-mGAM,2300,19401
D10-e003Coalescence-mBHI-p5,2355,19675
D5-e003Coalescence-mBHI-p3,2325,19492
C5-e003Coalescence-mBHI-p3,2349,19657
D9-e003Coalescence-mGAM-p5,2332,19586
C9-e003Coalescence-mBHI-p3,2357,19679
D10-e003Coalescence-mGAM-p5,2321,19426
C8-e003Coalescence-mBHI-p7,2358,19663
B11-e003Assembly-mGAM-p5,2242,19005
G3-e004Assembly-epsilon-p7,2155,18487
B4-e003Coalescence-mGAM-p5,2317,19504
D4-e003Coalescence-mGAM-p5,2310,19388
C3-e004Assembly-mBHI-p7,2154,18415
B5-e003Coalescence-mGAM-p5,2305,19233
B5-e003Coalescence-Inoculumn-mBHI,2359,19679
G3-e004Assembly-epsilon-p3,2159,18431
C2-e003Coalescence-mGAM-p3,2345,19510
B5-e003Coalescence-mGAM-p7,2219,18757
D8-e003Coalescence-mBHI-p5,2313,19386
C10-e003Assembly-mGAM-p3,2118,18125
B10-e003Coalescence-mBHI-p5,2358,19688
D5-e003Coalescence-Inoculumn-mGAM,2272,19169
F2-e004Assembly-epsilon-p3,2117,18073
B3-e004Assembly-mBHI-p5,2152,18402
B5-e003Coalescence-mBHI-p3,2358,19674
G4-e004Assembly-epsilon-p5,2114,17869
C4-e003Coalescence-mGAM-p5,2347,19593
C5-e003Coalescence-mGAM-p7,2273,19254
C5-e003Coalescence-mBHI-inoculumn-redo,2359,19688
A2-e003Coalescence-mBHI-p7,2270,19133
A10-e003Coalescence-mBHI-p5,2356,19662
D2-e003Coalescence-mBHI-p7,1639,13964
B8-e003Assembly-mGAM-p3,2177,18483
A4-e003Coalescence-mGAM-p5,2326,19465
D5-e003Coalescence-mBHI-p5,2305,19337
D3-e003Assembly-mBHI-p3,2287,19285
D4-e003Coalescence-mGAM-p7,2323,19502
E4-e004Assembly-mGAM-p3,1979,17141
A8-e003Coalescence-mBHI-p7,2281,19123
E3-e004Assembly-mGAM-p7,2102,17932
B9-e003GlycerolRevival-mGAM-p2,2185,18604
C4-e003Coalescence-mGAM-p3,2357,19624
B2-e003Coalescence-Inoculumn-mGAM,2310,19387
D5-e003Coalescence-mGAM-p7,2116,18111
C5-e003Coalescence-mBHI-p5,2356,19691
C5-e003Coalescence-mGAM-p3,2326,19471
A3-e003Coalescence-mBHI-inoculumn-redo,2346,19552
D9-e003Assembly-mGAM-p5,2257,19018
B12-e003Coalescence-mGAM-p3,2296,19401
A11-e003Coalescence-mBHI-p7,2284,19236
A3-e003Coalescence-Inoculumn-mGAM,2294,19288
D10-e003Assembly-mGAM-p3,2196,18499
C3-e003Coalescence-mGAM-p5,2320,19489
B4-e004Assembly-mBHI-p5,2219,18819
C10-e003GlycerolRevival-mGAM-p2,2220,18741
D3-e003Assembly-mBHI-p5,2305,19445
A10-e003Coalescence-mGAM-p3,2342,19576
A9-e003Coalescence-mBHI-p3,2347,19650
A2-e003Coalescence-Inoculumn-mBHI,2274,19110
