,index,fixed_diffs,comparisons,sample1,species_id
0,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,0,1023055,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,100038
1,A_D8_D11_AF_AF_mGAM_mBHI_2_S44,128,1721614,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,100038
2,A_E5_A8_AA_AA_mGAM_mGAM_2_S53,753,942428,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,100038
3,A_G5_C8_AA_AE_mGAM_mGAM_2_S77,2531,1438683,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,100038
4,A_G8_C11_AF_AE_mGAM_mGAM_2_S80,2347,1409940,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,100038
5,B_C7_G10_AE_AE_mGAM_mBHI_2_S127,2070,1144928,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,100038
6,B_E5_E8_AA_AA_mGAM_mGAM_2_S149,826,967818,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,100038
7,B_E6_E9_ACPP_AA_mGAM_mGAM_2_S150,1282,1609711,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,100038
8,B_E7_E10_AE_AA_mGAM_mGAM_2_S151,2825,1639934,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,100038
9,B_G7_G10_AE_AE_mGAM_mGAM_2_S175,3137,1757488,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,100038
10,B_G10_C9_ACPP_AE_mGAM_mGAM_4_S178,2476,1424656,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,100038
11,B_G11_C10_AE_AE_mGAM_mGAM_4_S179,2964,1659795,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,100038
12,B_H7_H10_AE_AF_mGAM_mGAM_2_S187,2161,1236557,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,100038
13,C_C8_C11_AF_AE_mGAM_mBHI_6_S224,143,1481230,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,100038
