,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C11-e003Coalescence-mBHI-p5,5201,436
C11-e003Coalescence-mGAM-p3,6417,574
C11-e003Coalescence-mGAM-p5,3998,380
C11-e003Coalescence-mGAM-p7,5944,523
C5-e003Coalescence-Inoculumn-mGAM,6896,597
D10-e003Coalescence-mBHI-p7,5193,437
D10-e003Coalescence-mGAM-p3,6671,577
D10-e003Coalescence-mGAM-p5,3109,279
D10-e003Coalescence-mGAM-p7,6820,596
D4-e003Coalescence-Inoculumn-mGAM,4899,412
G111-e003Coalescence-mBHI-p5_S32,6763,585
G111-e003Coalescence-mBHI-p7_S128,4818,400
G111-e003Coalescence-mGAM-p5_S80,5786,520
H100-e003Coalescence-mBHI-p7_S139,3336,280
