,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,2435,1559
A3-e003Coalescence-mBHI-p3,3918,2739
A3-e003Coalescence-mGAM-p7,4236,2890
B2-e003Coalescence-Inoculumn-mBHI,4121,2790
B2-e003Coalescence-mBHI-p3,4144,2847
B2-e003Coalescence-mBHI-p5,3244,2485
B2-e003Coalescence-mGAM-p3,4121,2812
E3-e003Coalescence-mBHI-p3_S10,4036,2790
E3-e003Coalescence-mBHI-p5_S2,3928,2762
E3-e003Coalescence-mGAM-p3_S58,4157,2862
E3-e003Coalescence-mGAM-p5_S50,4236,2890
E3-e003Coalescence-mGAM-p7_S146,4241,2889
F2-e003Coalescence-mBHI-p3_S21,3693,2710
F2-e003Coalescence-mBHI-p5_S13,4221,2877
F2-e003Coalescence-mGAM-p3_S69,4227,2888
F2-e003Coalescence-mGAM-p5_S61,4234,2889
F2-e003Coalescence-mGAM-p7_S157,4156,2866
