,index,fixed_diffs,num_int_sites,sample1,species_id
0,C12-e003Coalescence-mBHI-p3,0,830237,C12-e003Coalescence-mBHI-p3,103117
1,C9-e003Coalescence-mGAM-p3,1441,615731,C12-e003Coalescence-mBHI-p3,103117
2,C11-e003Coalescence-mBHI-p3,16,835827,C12-e003Coalescence-mBHI-p3,103117
3,D11-e003Coalescence-mBHI-p5,20,838778,C12-e003Coalescence-mBHI-p3,103117
4,D10-e003Coalescence-mBHI-p3,16,860247,C12-e003Coalescence-mBHI-p3,103117
5,B9-e003Coalescence-mGAM-p5,1960,828599,C12-e003Coalescence-mBHI-p3,103117
6,B8-e003Assembly-mGAM-p5,8164,719933,C12-e003Coalescence-mBHI-p3,103117
7,C8-e003Assembly-mGAM-p3,8540,750785,C12-e003Coalescence-mBHI-p3,103117
8,D11-e003Coalescence-mGAM-p5,2,783016,C12-e003Coalescence-mBHI-p3,103117
9,B11-e003Coalescence-mGAM-p3,11,849799,C12-e003Coalescence-mBHI-p3,103117
10,A2-e003Coalescence-Inoculumn-mGAM,10039,877910,C12-e003Coalescence-mBHI-p3,103117
11,D9-e003Coalescence-mGAM-p7,3,828934,C12-e003Coalescence-mBHI-p3,103117
12,B10-e003Coalescence-mGAM-p3,637,278516,C12-e003Coalescence-mBHI-p3,103117
13,B5-e003Coalescence-Inoculumn-mGAM,34,852343,C12-e003Coalescence-mBHI-p3,103117
14,D10-e003Coalescence-mBHI-p5,20,856817,C12-e003Coalescence-mBHI-p3,103117
15,D10-e003Coalescence-mGAM-p5,3,825982,C12-e003Coalescence-mBHI-p3,103117
16,B11-e003Assembly-mGAM-p5,16,770529,C12-e003Coalescence-mBHI-p3,103117
17,D5-e003Coalescence-Inoculumn-mGAM,19,815354,C12-e003Coalescence-mBHI-p3,103117
18,B2-e003Coalescence-Inoculumn-mGAM,6978,906214,C12-e003Coalescence-mBHI-p3,103117
19,B12-e003Coalescence-mGAM-p3,12,397554,C12-e003Coalescence-mBHI-p3,103117
20,A3-e003Coalescence-Inoculumn-mGAM,7094,902635,C12-e003Coalescence-mBHI-p3,103117
21,A10-e003Coalescence-mGAM-p3,5860,523858,C12-e003Coalescence-mBHI-p3,103117
22,C11-e003Coalescence-mGAM-p5,2,819033,C12-e003Coalescence-mBHI-p3,103117
23,D10-e003Coalescence-mGAM-p7,5,841465,C12-e003Coalescence-mBHI-p3,103117
24,C12-e003Coalescence-mGAM-p3,2,566816,C12-e003Coalescence-mBHI-p3,103117
25,C11-e003Coalescence-mGAM-p3,3,841070,C12-e003Coalescence-mBHI-p3,103117
26,C11-e003Coalescence-mBHI-p5,4,692299,C12-e003Coalescence-mBHI-p3,103117
27,D10-e003Coalescence-mGAM-p3,6,823766,C12-e003Coalescence-mBHI-p3,103117
28,C2-e003Coalescence-Inoculumn-mGAM,3947,348724,C12-e003Coalescence-mBHI-p3,103117
29,B3-e003Coalescence-Inoculumn-mGAM,1920,821434,C12-e003Coalescence-mBHI-p3,103117
30,D11-e003Coalescence-mGAM-p7,8,838750,C12-e003Coalescence-mBHI-p3,103117
31,B4-e003Coalescence-Inoculumn-mGAM,1921,822578,C12-e003Coalescence-mBHI-p3,103117
32,B11-e003GlycerolRevival-mGAM-p2,13,790904,C12-e003Coalescence-mBHI-p3,103117
33,D12-e003Coalescence-mBHI-p3,22,815707,C12-e003Coalescence-mBHI-p3,103117
34,C11-e003Coalescence-mGAM-p7,3,806621,C12-e003Coalescence-mBHI-p3,103117
35,A8-e003Coalescence-mGAM-p7,3404,314150,C12-e003Coalescence-mBHI-p3,103117
36,A5-e003Coalescence-Inoculumn-mGAM,606,966787,C12-e003Coalescence-mBHI-p3,103117
37,D4-e003Coalescence-Inoculumn-mGAM,2,318244,C12-e003Coalescence-mBHI-p3,103117
38,C9-e003GlycerolRevival-mGAM-p2,4648,427226,C12-e003Coalescence-mBHI-p3,103117
39,B8-e003GlycerolRevival-mGAM-p2,9558,841073,C12-e003Coalescence-mBHI-p3,103117
40,D2-e003Coalescence-Inoculumn-mGAM,728,956565,C12-e003Coalescence-mBHI-p3,103117
41,C5-e003Coalescence-Inoculumn-mGAM,18,825817,C12-e003Coalescence-mBHI-p3,103117
42,A11-e003Coalescence-mBHI-p3,7661,676382,C12-e003Coalescence-mBHI-p3,103117
43,A4-e003Coalescence-Inoculumn-mGAM,9874,864609,C12-e003Coalescence-mBHI-p3,103117
44,H111-e003Coalescence-mGAM-p7_S188,33,858240,C12-e003Coalescence-mBHI-p3,103117
45,F100-e003Coalescence-mGAM-p7_S163,1834,790212,C12-e003Coalescence-mBHI-p3,103117
46,H111-e003Coalescence-mBHI-p3_S144,54,851682,C12-e003Coalescence-mBHI-p3,103117
47,G111-e003Coalescence-mGAM-p5_S80,32,804265,C12-e003Coalescence-mBHI-p3,103117
48,G111-e003Coalescence-mBHI-p5_S32,39,840999,C12-e003Coalescence-mBHI-p3,103117
49,H9-e003Coalescence-mGAM-p3_S190,33,451148,C12-e003Coalescence-mBHI-p3,103117
50,G8-e003Coalescence-mGAM-p3_S177,5673,518899,C12-e003Coalescence-mBHI-p3,103117
51,G111-e003Coalescence-mBHI-p3_S132,14,339163,C12-e003Coalescence-mBHI-p3,103117
52,F9-e003Coalescence-mGAM-p5_S66,778,300992,C12-e003Coalescence-mBHI-p3,103117
53,G111-e003Coalescence-mGAM-p7_S176,18,559123,C12-e003Coalescence-mBHI-p3,103117
54,H100-e003Coalescence-mGAM-p7_S187,32,827610,C12-e003Coalescence-mBHI-p3,103117
55,E100-e003Coalescence-mGAM-p3_S155,5229,476155,C12-e003Coalescence-mBHI-p3,103117
56,F111-e003Coalescence-mGAM-p7_S164,38,316063,C12-e003Coalescence-mBHI-p3,103117
57,H100-e003Coalescence-mBHI-p5_S43,45,842899,C12-e003Coalescence-mBHI-p3,103117
58,G8-e003Coalescence-mGAM-p5_S77,9551,855131,C12-e003Coalescence-mBHI-p3,103117
59,H111-e003Coalescence-mGAM-p5_S92,32,827241,C12-e003Coalescence-mBHI-p3,103117
60,H9-e003Coalescence-mGAM-p5_S90,31,822606,C12-e003Coalescence-mBHI-p3,103117
61,G9-e003Coalescence-mGAM-p7_S174,968,422336,C12-e003Coalescence-mBHI-p3,103117
62,G111-e003Coalescence-mGAM-p3_S180,32,871518,C12-e003Coalescence-mBHI-p3,103117
63,F9-e003Coalescence-mGAM-p7_S162,1473,665427,C12-e003Coalescence-mBHI-p3,103117
64,H9-e003Coalescence-mGAM-p7_S186,37,849786,C12-e003Coalescence-mBHI-p3,103117
65,G100-e003Coalescence-mBHI-p3_S131,9203,831011,C12-e003Coalescence-mBHI-p3,103117
66,G111-e003Coalescence-mBHI-p7_S128,31,839108,C12-e003Coalescence-mBHI-p3,103117
67,H111-e003Coalescence-mBHI-p5_S44,52,846876,C12-e003Coalescence-mBHI-p3,103117
68,H100-e003Coalescence-mGAM-p5_S91,35,822787,C12-e003Coalescence-mBHI-p3,103117
69,H100-e003Coalescence-mBHI-p7_S139,44,836771,C12-e003Coalescence-mBHI-p3,103117
70,G8-e003Coalescence-mGAM-p7_S173,9179,834447,C12-e003Coalescence-mBHI-p3,103117
71,H111-e003Coalescence-mGAM-p3_S192,30,840718,C12-e003Coalescence-mBHI-p3,103117
72,E8-e003Coalescence-mBHI-p3_S105,3213,308822,C12-e003Coalescence-mBHI-p3,103117
73,E8-e003Coalescence-mGAM-p7_S149,9770,872729,C12-e003Coalescence-mBHI-p3,103117
74,G9-e003Coalescence-mGAM-p3_S178,1174,503319,C12-e003Coalescence-mBHI-p3,103117
0,C12-e003Coalescence-mBHI-p3,1451,830237,C9-e003Coalescence-mGAM-p3,103117
1,C9-e003Coalescence-mGAM-p3,0,615731,C9-e003Coalescence-mGAM-p3,103117
2,C11-e003Coalescence-mBHI-p3,1407,835827,C9-e003Coalescence-mGAM-p3,103117
3,D11-e003Coalescence-mBHI-p5,1426,838778,C9-e003Coalescence-mGAM-p3,103117
4,D10-e003Coalescence-mBHI-p3,1477,860247,C9-e003Coalescence-mGAM-p3,103117
5,B9-e003Coalescence-mGAM-p5,15,828599,C9-e003Coalescence-mGAM-p3,103117
6,B8-e003Assembly-mGAM-p5,5962,719933,C9-e003Coalescence-mGAM-p3,103117
7,C8-e003Assembly-mGAM-p3,6267,750785,C9-e003Coalescence-mGAM-p3,103117
8,D11-e003Coalescence-mGAM-p5,1323,783016,C9-e003Coalescence-mGAM-p3,103117
9,B11-e003Coalescence-mGAM-p3,1544,849799,C9-e003Coalescence-mGAM-p3,103117
10,A2-e003Coalescence-Inoculumn-mGAM,7338,877910,C9-e003Coalescence-mGAM-p3,103117
11,D9-e003Coalescence-mGAM-p7,1471,828934,C9-e003Coalescence-mGAM-p3,103117
12,B10-e003Coalescence-mGAM-p3,3,278516,C9-e003Coalescence-mGAM-p3,103117
13,B5-e003Coalescence-Inoculumn-mGAM,1544,852343,C9-e003Coalescence-mGAM-p3,103117
