,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-Inoculumn-mGAM
D11-e003Coalescence-mBHI-p5,2,0
C8-e003Coalescence-mGAM-p7,5,0
D10-e003Coalescence-mBHI-p3,5,0
A8-e003Coalescence-mBHI-p3,4,0
B9-e003Coalescence-mGAM-p5,6,0
C5-e004Assembly-mBHI-p3,1,0
B8-e003Assembly-mGAM-p5,5,0
e004-inoculumn-fecal-AK,5,0
D3-e004Assembly-mGAM-p7,4,0
C8-e003Assembly-mGAM-p3,3,0
D4-e004Assembly-mGAM-p5,5,0
A11-e003Coalescence-mGAM-p7,4,0
B8-e003Coalescence-mBHI-p5,6,0
C2-e003Coalescence-mGAM-p7,5,0
B11-e003Coalescence-mGAM-p3,3,0
D8-e003Assembly-mGAM-p5,2,0
A5-e003Coalescence-mGAM-p3,4,0
A2-e003Coalescence-Inoculumn-mGAM,6,0
E5-e004Assembly-mGAM-p5,6,0
D8-e003Coalescence-mGAM-p5,6,0
A12-e003Coalescence-mGAM-p3,3,0
D9-e003Coalescence-mGAM-p7,6,0
D8-e003Assembly-mGAM-p3,6,0
A9-e003Coalescence-mGAM-p7,6,0
B5-e003Coalescence-Inoculumn-mGAM,6,0
D9-e003Coalescence-mGAM-p5,4,0
C8-e003Coalescence-mBHI-p7,4,0
B4-e003Coalescence-mGAM-p5,4,0
BB-Fecal,5,0
C2-e003Coalescence-mGAM-p3,3,0
D8-e003Coalescence-mBHI-p5,6,0
E5-e004Assembly-mGAM-p7,6,0
D5-e003Coalescence-Inoculumn-mGAM,5,0
A10-e003Coalescence-mBHI-p5,5,0
BF-Fecal,1,0
B8-e003Assembly-mGAM-p3,4,0
D5-e003Coalescence-mBHI-p5,6,0
e003-inoculumn-fecal-inoculumn,5,0
A8-e003Coalescence-mBHI-p7,6,0
e003-inoculumn-fecal-AC,1,0
B9-e003GlycerolRevival-mGAM-p2,2,0
B2-e003Coalescence-Inoculumn-mGAM,6,0
A3-e003Coalescence-Inoculumn-mGAM,6,0
C10-e003GlycerolRevival-mGAM-p2,4,0
A10-e003Coalescence-mGAM-p3,6,0
A9-e003Coalescence-mBHI-p3,5,0
A2-e003Coalescence-Inoculumn-mBHI,6,0
A9-e003Coalescence-mBHI-p5,6,0
B2-e003Coalescence-mGAM-p3,5,0
G4-e004Assembly-epsilon-p3,3,0
A8-e003Coalescence-mBHI-p5,6,0
D2-e003Coalescence-mGAM-p5,6,0
D3-e003Coalescence-mGAM-p5,6,0
B9-e003Coalescence-mGAM-p7,3,0
C3-e003Coalescence-Inoculumn-mGAM,1,0
A3-e003Coalescence-mGAM-p7,3,0
D10-e003Coalescence-mGAM-p7,2,0
C11-e003Coalescence-mGAM-p3,3,0
A10-e003Coalescence-mBHI-p7,6,0
C11-e003Coalescence-mBHI-p5,3,0
A2-e003Coalescence-mGAM-p7,5,0
F5-e004Assembly-epsilon-p3,6,0
A9-e003Coalescence-mBHI-p7,6,0
C2-e003Coalescence-Inoculumn-mGAM,6,0
B3-e003Coalescence-Inoculumn-mGAM,5,0
D11-e003Coalescence-mGAM-p7,1,0
D5-e003Coalescence-mGAM-p3,6,0
E4-e004Assembly-mGAM-p5,2,0
B4-e003Coalescence-Inoculumn-mGAM,1,0
A10-e003Coalescence-mGAM-p7,4,0
B2-e003Assembly-mBHI-p3,5,0
A2-e003Coalescence-mGAM-p5,6,0
D3-e004Assembly-mGAM-p5,4,0
D4-e004Assembly-mGAM-p7,4,0
B8-e003Coalescence-mGAM-p5,4,0
A8-e003Coalescence-mGAM-p7,6,0
A11-e003Coalescence-mBHI-p5,2,0
C9-e003Assembly-mGAM-p5,5,0
A5-e003Coalescence-Inoculumn-mGAM,6,0
e004-inoculumn-fecal-AR,2,0
B5-e003Coalescence-mGAM-p3,5,0
A2-e003Coalescence-mBHI-inoculumn-redo,5,0
C2-e003Coalescence-mGAM-p5,6,0
B8-e003GlycerolRevival-mGAM-p2,6,0
C8-e003Coalescence-mBHI-p5,6,0
B8-e003Coalescence-mGAM-p7,6,0
D2-e003Coalescence-Inoculumn-mGAM,6,0
B8-e003Coalescence-mBHI-p7,6,0
D3-e003Coalescence-Inoculumn-mGAM,5,0
BC-Fecal,0,0
A11-e003Coalescence-mBHI-p3,6,0
A4-e003Coalescence-Inoculumn-mGAM,6,0
A9-e003Coalescence-mGAM-p5,6,0
A11-e003Coalescence-mGAM-p3,6,0
E2-e003Coalescence-mGAM-p7_S145,6,0
H111-e003Coalescence-mGAM-p7_S188,4,0
F5-e003Coalescence-mGAM-p5_S64,2,0
F5-e003Coalescence-mGAM-p7_S160,3,0
F8-e003Coalescence-mBHI-p3_S117,5,0
E3-e003Coalescence-mGAM-p3_S58,6,0
E8-e003Coalescence-mBHI-p5_S5,6,0
E9-e003Coalescence-mBHI-p5_S6,6,0
H111-e003Coalescence-mBHI-p3_S144,5,0
H2-e003Coalescence-mGAM-p7_S181,6,0
H2-e003Coalescence-mGAM-p5_S85,2,0
G8-e003Coalescence-mGAM-p3_S177,5,0
F2-e003Coalescence-mGAM-p7_S157,4,0
H3-e003Coalescence-mGAM-p3_S94,4,0
E100-e003Coalescence-mBHI-p7_S103,6,0
F9-e003Coalescence-mGAM-p5_S66,2,0
E100-e003Coalescence-mGAM-p3_S155,6,0
E3-e003Coalescence-mGAM-p5_S50,5,0
E9-e003Coalescence-mBHI-p7_S102,6,0
E111-e003Coalescence-mBHI-p5_S8,6,0
F2-e003Coalescence-mGAM-p5_S61,6,0
F8-e003Coalescence-mGAM-p5_S65,6,0
H8-e003Coalescence-mBHI-p7_S137,6,0
G8-e003Coalescence-mGAM-p5_S77,6,0
E111-e003Coalescence-mBHI-p3_S108,6,0
H111-e003Coalescence-mGAM-p5_S92,4,0
H9-e003Coalescence-mGAM-p5_S90,5,0
E8-e003Coalescence-mBHI-p7_S101,2,0
H2-e003Coalescence-mGAM-p3_S93,4,0
E4-e003Coalescence-mGAM-p5_S51,6,0
G9-e003Coalescence-mGAM-p7_S174,1,0
H8-e003Coalescence-mBHI-p5_S41,5,0
E100-e003Coalescence-mBHI-p5_S7,6,0
F9-e003Coalescence-mGAM-p7_S162,2,0
F8-e003Coalescence-mGAM-p7_S161,5,0
G8-e003Coalescence-mBHI-p3_S129,5,0
E5-e003Coalescence-mGAM-p3_S60,1,0
G2-e003Coalescence-mGAM-p5_S73,6,0
E5-e003Coalescence-mGAM-p7_S148,6,0
H9-e003Coalescence-mGAM-p7_S186,6,0
E100-e003Coalescence-mGAM-p5_S55,6,0
E8-e003Coalescence-mGAM-p5_S53,6,0
H8-e003Coalescence-mGAM-p5_S89,6,0
E3-e003Coalescence-mGAM-p7_S146,5,0
F100-e003Coalescence-mGAM-p3_S167,3,0
G100-e003Coalescence-mBHI-p3_S131,5,0
E9-e003Coalescence-mGAM-p3_S154,6,0
F111-e003Coalescence-mGAM-p3_S168,4,0
F8-e003Coalescence-mBHI-p7_S113,6,0
G8-e003Coalescence-mBHI-p7_S125,3,0
H111-e003Coalescence-mBHI-p5_S44,5,0
E111-e003Coalescence-mBHI-p7_S104,5,0
E2-e003Coalescence-mGAM-p3_S57,6,0
F2-e003Coalescence-mGAM-p3_S69,5,0
E9-e003Coalescence-mGAM-p5_S54,2,0
E111-e003Coalescence-mGAM-p5_S56,6,0
E4-e003Coalescence-mGAM-p7_S147,6,0
E4-e003Coalescence-mGAM-p3_S59,3,0
H100-e003Coalescence-mBHI-p7_S139,2,0
G8-e003Coalescence-mBHI-p5_S29,6,0
G8-e003Coalescence-mGAM-p7_S173,6,0
E2-e003Coalescence-mGAM-p5_S49,6,0
H111-e003Coalescence-mGAM-p3_S192,6,0
E8-e003Coalescence-mBHI-p3_S105,6,0
E8-e003Coalescence-mGAM-p7_S149,5,0
H3-e003Coalescence-mGAM-p5_S86,1,0
E100-e003Coalescence-mGAM-p7_S151,6,0
G9-e003Coalescence-mGAM-p3_S178,4,0
H8-e003Coalescence-mGAM-p7_S185,6,0
G2-e003Coalescence-mGAM-p3_S81,6,0
F8-e003Coalescence-mBHI-p5_S17,6,0
E5-e003Coalescence-mGAM-p5_S52,6,0
