,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,10145,9740
A3-e003Coalescence-mBHI-p3,10190,9792
A3-e003Coalescence-mBHI-p7,10182,9759
B2-e003Coalescence-Inoculumn-mBHI,9295,8770
B2-e003Coalescence-mBHI-p3,10191,9793
B2-e003Coalescence-mBHI-p5,10174,9782
B2-e003Coalescence-mBHI-p7,10069,9751
B2-e003Coalescence-mGAM-p3,10193,9787
E3-e003Coalescence-mBHI-p3_S10,9965,9727
E3-e003Coalescence-mBHI-p5_S2,9931,9721
E3-e003Coalescence-mGAM-p3_S58,10175,9749
E3-e003Coalescence-mGAM-p5_S50,10165,9698
E3-e003Coalescence-mGAM-p7_S146,10115,9526
F2-e003Coalescence-mBHI-p3_S21,9942,9729
F2-e003Coalescence-mBHI-p5_S13,9946,9730
F2-e003Coalescence-mGAM-p5_S61,9035,8099
F2-e003Coalescence-mGAM-p7_S157,10114,9514
